month_label,year,month,date_cours,masi_mom_3m,breadth_ma50,is_bull,is_neutral,is_bear,regime,hmm_regime,masi_ret_1m
2017-08,2017,8,2017-08-31,0.07463527535302217,0.6181818181818182,1,0,0,bull,neutral,0.0160474703515201
2017-09,2017,9,2017-09-29,0.008196449035858588,0.45454545454545453,0,1,0,neutral,neutral,-0.02069838913939548
2017-10,2017,10,2017-10-31,0.003975981824082986,0.45454545454545453,0,1,0,neutral,bear,0.01915077632716944
2017-11,2017,11,2017-11-30,0.015620075797367239,0.5454545454545454,0,1,0,neutral,neutral,0.015792451305261412
2017-12,2017,12,2017-12-29,0.020452205428112435,0.4909090909090909,0,1,0,neutral,neutral,-0.014289806180579845
2018-01,2018,1,2018-01-31,0.06009258733774936,0.7592592592592593,1,0,0,bull,neutral,0.055429097249128256
2018-02,2018,2,2018-02-28,0.04287278613597412,0.7924528301886793,0,1,0,neutral,neutral,0.0051393828151886645
2018-03,2018,3,2018-03-30,0.05437169055921487,0.4444444444444444,0,1,0,neutral,bear,-0.00610985566131772
2018-04,2018,4,2018-04-30,-0.003632748269664643,0.5370370370370371,0,1,0,neutral,bear,-0.0026335129838314097
2018-05,2018,5,2018-05-31,-0.0631650097591725,0.36363636363636365,0,0,1,bear,bear,-0.05316241940435984
2018-06,2018,6,2018-06-29,-0.0906188755512003,0.18181818181818182,0,0,1,bear,bear,-0.03702352578757062
2018-07,2018,7,2018-07-31,-0.0983957629720601,0.2545454545454545,0,0,1,bear,bear,-0.011162837684258409
2018-08,2018,8,2018-08-31,-0.07642038410161656,0.2857142857142857,0,0,1,bear,bear,-0.0169928742305957
2018-09,2018,9,2018-09-28,-0.07340439445461677,0.2545454545454545,0,0,1,bear,bear,-0.01826527519161647
2018-10,2018,10,2018-10-31,-0.05894671527185291,0.3090909090909091,0,0,1,bear,bear,-0.036689720879353516
2018-11,2018,11,2018-11-30,-0.03525035224578177,0.36363636363636365,0,0,1,bear,bear,0.02835242726448506
2018-12,2018,12,2018-12-31,0.0025318465718620065,0.625,0,1,0,neutral,bear,0.012022120702091854
2019-01,2019,1,2019-01-31,0.029252545769443472,0.5535714285714286,0,1,0,neutral,neutral,-0.0011967301109614414
2019-02,2019,2,2019-02-28,-0.005882615487614373,0.375,0,1,0,neutral,bear,-0.01886227281136854
2019-03,2019,3,2019-03-29,-0.024677564956248843,0.39285714285714285,0,1,0,neutral,bear,-0.020149776412908715
2019-04,2019,4,2019-04-30,-0.013972706529112755,0.39285714285714285,0,1,0,neutral,bear,0.025650189695936687
2019-05,2019,5,2019-05-31,-0.01725185383721972,0.32142857142857145,0,0,1,bear,bear,-0.017172827262086687
2019-06,2019,6,2019-06-28,0.018250381156007744,0.42105263157894735,0,1,0,neutral,bear,0.02610023727488442
2019-07,2019,7,2019-07-31,0.042914216456434895,0.5964912280701754,0,1,0,neutral,neutral,0.02919287676087534
2019-08,2019,8,2019-08-30,0.03403853285535163,0.5964912280701754,0,1,0,neutral,neutral,0.00812637197090349
2019-09,2019,9,2019-09-30,0.022815336435535016,0.40350877192982454,0,1,0,neutral,bear,-0.01274026761393221
2019-10,2019,10,2019-10-31,-0.0068920788654445175,0.42105263157894735,0,1,0,neutral,bear,-0.006694517242274212
2019-11,2019,11,2019-11-29,0.0036419512029475243,0.6140350877192983,0,1,0,neutral,neutral,0.02943148472262136
2019-12,2019,12,2019-12-31,0.0527777057007186,0.5964912280701754,0,1,0,neutral,neutral,0.029571234023836324
2020-01,2020,1,2020-01-31,0.08649928040089461,0.6551724137931034,1,0,0,bull,neutral,0.029576319227072156
2020-02,2020,2,2020-02-28,0.0432943899388194,0.46551724137931033,0,1,0,neutral,neutral,-0.021624813476009197
2020-03,2020,3,2020-03-31,-0.19867724649288676,0.13559322033898305,0,0,1,bear,bear,-0.20846756763369734
2020-04,2020,4,2020-04-30,-0.2349815269933757,0.15254237288135594,0,0,1,bear,bear,-0.031344990674813666
2020-05,2020,5,2020-05-29,-0.1964048316192123,0.6779661016949152,0,1,0,neutral,bear,0.0480921633495377
2020-06,2020,6,2020-06-30,0.047841811868231554,0.6271186440677966,1,0,0,bull,neutral,0.03211269892822366
2020-07,2020,7,2020-07-29,0.09976990236979044,0.288135593220339,0,1,0,neutral,bear,0.005811666601108989
2020-08,2020,8,2020-08-31,0.020079917063400288,0.288135593220339,0,1,0,neutral,bear,-0.009141304029017583
2020-09,2020,9,2020-09-30,-0.012477753608859055,0.3389830508474576,0,1,0,neutral,bear,-0.01450447961479262
2020-10,2020,10,2020-10-28,0.02331155110345917,0.5084745762711864,0,1,0,neutral,neutral,0.047347764272412496
2020-11,2020,11,2020-11-30,0.08290063549928561,0.6610169491525424,1,0,0,bull,neutral,0.05068494460217754
2020-12,2020,12,2020-12-31,0.13019795536241752,0.6333333333333333,1,0,0,bull,neutral,0.026976862677305702
2021-01,2021,1,2021-01-29,0.11349405434387139,0.7,1,0,0,bull,neutral,0.030352428371458462
2021-02,2021,2,2021-02-26,0.04308935623105903,0.4666666666666667,0,1,0,neutral,neutral,-0.02337059329320712
2021-03,2021,3,2021-03-31,0.024306267895211064,0.5166666666666667,0,1,0,neutral,neutral,0.011040481766477095
2021-04,2021,4,2021-04-30,0.008702484350046724,0.65,0,1,0,neutral,neutral,0.02852763941621106
2021-05,2021,5,2021-05-31,0.06716878083157152,0.6666666666666666,1,0,0,bull,neutral,0.02567901652668647
2021-06,2021,6,2021-06-30,0.08060190184262783,0.6666666666666666,1,0,0,bull,neutral,0.02432622064468215
2021-07,2021,7,2021-07-29,0.047487293871261604,0.4,0,1,0,neutral,neutral,-0.00846952261225542
2021-08,2021,8,2021-08-31,0.049376286486620735,0.6166666666666667,1,0,0,bull,neutral,0.03170487886151774
2021-09,2021,9,2021-09-30,0.05755828407824137,0.6333333333333333,1,0,0,bull,neutral,0.03880512359975419
2021-10,2021,10,2021-10-29,0.11042391972148269,0.7,1,0,0,bull,neutral,0.027959777959778
2021-11,2021,11,2021-11-30,0.024257367617705805,0.4,0,1,0,neutral,bear,-0.03467965032643583
2021-12,2021,12,2021-12-31,0.01300542967209628,0.5245901639344263,0,1,0,neutral,neutral,0.020855304385039686
2022-01,2022,1,2022-01-31,0.027836387192300638,0.819672131147541,0,1,0,neutral,neutral,0.0393163800783034
2022-02,2022,2,2022-02-28,-0.0011004631115594243,0.45901639344262296,0,1,0,neutral,bear,-0.05852270681024241
2022-03,2022,3,2022-03-31,-0.04043927745296927,0.26229508196721313,0,0,1,bear,bear,-0.019348175350011432
2022-04,2022,4,2022-04-29,-0.05239809277867136,0.5901639344262295,0,1,0,neutral,bear,0.024855477800922232
2022-05,2022,5,2022-05-31,-0.055139092015896285,0.2786885245901639,0,0,1,bear,bear,-0.0606773390577543
2022-06,2022,6,2022-06-30,-0.06309047362713671,0.21311475409836064,0,0,1,bear,bear,-0.02675937631689851
2022-07,2022,7,2022-07-29,-0.10020099584304054,0.3225806451612903,0,0,1,bear,bear,-0.015895881559445102
2022-08,2022,8,2022-08-31,-0.03241324291982439,0.6774193548387096,0,1,0,neutral,neutral,0.02624698565807848
2022-09,2022,9,2022-09-30,-0.00859669791186457,0.3548387096774194,0,1,0,neutral,bear,-0.04251073899098834
2022-10,2022,10,2022-10-31,-0.08501716237466395,0.1791044776119403,0,0,1,bear,bear,-0.06806967993042334
2022-11,2022,11,2022-11-30,-0.10040564941007701,0.208955223880597,0,0,1,bear,bear,0.008159776763439375
2022-12,2022,12,2022-12-30,-0.07688300281578564,0.43283582089552236,0,1,0,neutral,bear,-0.017474252835006365
2023-01,2023,1,2023-01-31,-0.05836937795535346,0.20588235294117646,0,0,1,bear,bear,-0.04149156969287093
2023-02,2023,2,2023-02-28,-0.00031161470491458676,0.6470588235294118,0,1,0,neutral,neutral,0.061511661289773034
2023-03,2023,3,2023-03-31,-0.0296707578759825,0.4264705882352941,0,1,0,neutral,bear,-0.047317701290211955
2023-04,2023,4,2023-04-28,0.04005964532966,0.4117647058823529,0,1,0,neutral,bear,0.012878419355513149
2023-05,2023,5,2023-05-31,0.01904149550569878,0.6470588235294118,0,1,0,neutral,neutral,0.04977221180934599
2023-06,2023,6,2023-06-28,0.09983295779158441,0.6764705882352942,1,0,0,bull,neutral,0.0480296562617788
2023-07,2023,7,2023-07-31,0.15411736776721519,0.7058823529411765,1,0,0,bull,bull,0.04348750413134539
2023-08,2023,8,2023-08-31,0.08617756899268203,0.4852941176470588,0,1,0,neutral,neutral,-0.010680177767431909
2023-09,2023,9,2023-09-27,0.028436889002626975,0.44776119402985076,0,1,0,neutral,bear,-0.007442560768581186
2023-10,2023,10,2023-10-31,-0.00307021668070373,0.5074626865671642,0,1,0,neutral,bear,0.013174710777812848
2023-11,2023,11,2023-11-30,-0.010240956097223086,0.3088235294117647,0,1,0,neutral,bear,-0.0199707816845186
2023-12,2023,12,2023-12-29,0.025768585550828282,0.5217391304347826,0,1,0,neutral,neutral,0.0264246163543711
2024-01,2024,1,2024-01-31,0.03690356628284985,0.6521739130434783,0,1,0,neutral,neutral,0.03079495741593119
2024-02,2024,2,2024-02-29,0.10606455457950914,0.7246376811594203,1,0,0,bull,neutral,0.04539671390746025
2024-03,2024,3,2024-03-29,0.0757761393994576,0.5507246376811594,0,1,0,neutral,neutral,-0.0016829428314356631
2024-04,2024,4,2024-04-30,0.06912930216169855,0.6323529411764706,1,0,0,bull,neutral,0.023839203284492294
2024-05,2024,5,2024-05-31,0.013428278708198738,0.6376811594202898,0,1,0,neutral,neutral,-0.0006724647127580585
2024-06,2024,6,2024-06-28,0.026084286763792264,0.43478260869565216,0,1,0,neutral,bear,-0.0006786871484695256
2024-07,2024,7,2024-07-31,0.045643210428539804,0.5652173913043478,0,1,0,neutral,neutral,0.05134484566108832
2024-08,2024,8,2024-08-30,0.04553787472804305,0.5217391304347826,0,1,0,neutral,neutral,-0.003637464999209361
2024-09,2024,9,2024-09-30,0.07180632535153841,0.5942028985507246,0,1,0,neutral,neutral,0.031534013501815394
2024-10,2024,10,2024-10-31,0.028674371205092974,0.3188405797101449,0,1,0,neutral,bear,-0.01424473082816613
2024-11,2024,11,2024-11-29,0.066770986293202,0.4927536231884058,0,1,0,neutral,neutral,0.04722743279300068
2024-12,2024,12,2024-12-31,0.040265040835239185,0.463768115942029,0,1,0,neutral,neutral,-0.004315524484392763
2025-01,2025,1,2025-01-31,0.14566596483252736,0.7536231884057971,1,0,0,bull,bull,0.0998432512164873
2025-02,2025,2,2025-02-28,0.12715075284437316,0.6285714285714286,1,0,0,bull,neutral,0.02927038104980073
2025-03,2025,3,2025-03-28,0.21213645224498912,0.6571428571428571,1,0,0,bull,bull,0.0617224664176399
2025-04,2025,4,2025-04-30,0.07970498141458182,0.5285714285714286,0,1,0,neutral,neutral,-0.020592361665809467
2025-05,2025,5,2025-05-30,0.06196077913818465,0.5714285714285714,0,1,0,neutral,neutral,0.0336811226973428
2025-06,2025,6,2025-06-30,0.041476236778856146,0.6142857142857143,0,1,0,neutral,neutral,0.017828729451637493
2025-07,2025,7,2025-07-31,0.13027228516920708,0.647887323943662,1,0,0,bull,neutral,0.07314304950333095
2025-08,2025,8,2025-08-29,0.11004677306480093,0.8591549295774648,1,0,0,bull,bull,0.0213911980870074
2025-09,2025,9,2025-09-30,0.033639522669643984,0.39436619718309857,0,1,0,neutral,bear,-0.05136238212141808
2025-10,2025,10,2025-10-31,0.009788659776770237,0.5211267605633803,0,1,0,neutral,bear,0.032152766399
2025-11,2025,11,2025-11-17,-0.06861083781686217,0.2112676056338028,0,0,1,bear,bear,-0.05807560807013967
