cell,configuration,mois,date_rebalance,portfolio,ticker,weight,recommendation,predicted_return,conviction_score,score_opt,liquidity_vmq_20j,L_sigmoid,held,sell_mode,eligible_vmq,n_candidates,n_positions,expected_alpha_raw,cvar_95,liquidity_L_weighted,status,portfolio_ret_month,turnover,liquidite_ponderee,n_titres,ret_holding,contribution,eligible,min_vmq_threshold,protocol_window
1,C1 Ridge,2024-03,2024-03-29,P_selected,TGC,0.05497663790745302,BUY,0.5176167289734244,0.5176167289734244,0.5176167289734244,5166311.55,1.0,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.21843137254901945,0.012008622476255415,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,DYT,0.0402895370815357,BUY,0.6745874326996848,0.6745874326996848,0.6745874326996848,710520.0700000001,0.9993694712769375,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,-0.01922322479403693,-0.0007744948281660474,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,SMI,0.027577545755677824,BUY,0.4961438121506904,0.4961438121506904,0.4961438121506904,722877.55,0.9994825296888584,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.11562500000000009,0.003188653728000251,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,MNG,0.009967743913988645,NEUTRAL,0.07095122631493067,0.07095122631493067,0.035475613157465336,2789222.85,1.0,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.3360000000000001,0.0033491619551001854,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,EQD,0.009537933933704772,BUY,0.3140665630254824,0.3140665630254824,0.3140665630254824,2302739.15,0.9999999999999944,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.06695652173913036,0.0006386268807784927,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,TMA,0.007745534471826975,BUY,0.15636517837776617,0.15636517837776617,0.15636517837776617,1932797.55,0.9999999999979736,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.00786275911365264,6.090127175846823e-05,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,GAZ,0.006957136722537289,NEUTRAL,0.07130959155565667,0.07130959155565667,0.03565479577782833,2556413.0,1.0,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,-0.03488372093023251,-0.0002426908159024632,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,BOA,0.004340674105045837,BUY,0.2093207266543659,0.2093207266543659,0.2093207266543659,2661902.9025,1.0,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,-0.01538461538461533,-6.677960161608955e-05,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,CMA,0.004171726187310999,NEUTRAL,-0.07386398993197946,-0.07386398993197946,-0.03693199496598973,3302835.7,1.0,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.040804257835600266,0.00017022419096656365,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,CMT,0.0036357621218534118,BUY,0.18682580250657235,0.18682580250657235,0.18682580250657235,906131.4,0.999972412008993,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.15283842794759828,0.0005556841670954997,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,LBV,0.002165977735329575,NEUTRAL,0.06623519285380407,0.06623519285380407,0.033117596426902034,4552965.35,1.0,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,-0.06240487062404876,-0.00013516756034781223,1,500000.0,2023-01_2025-06
