month,decision_date,holding_end_date,holding_period,gross_return,transaction_cost,net_return,turnover,portfolio_alpha,portfolio_cvar,portfolio_liquidity,n_positions,n_days,n_SELL,sum_weights
2021-03,2021-03-31,2021-04-30,(after 2021-03-31] → 2021-04-30,0.0170817513470789,0.002452093218489138,0.014586572191785496,0.817364406163046,0.883355,0.018531,0.9999,21,21,0,0.9999999999999999
2021-04,2021-04-30,2021-05-31,(after 2021-04-30] → 2021-05-31,0.058140706183014146,0.0030313174575981676,0.054948186260361354,1.0104391525327223,0.873048,0.014225,0.9998,16,18,0,0.9999999999999999
2021-05,2021-05-31,2021-06-30,(after 2021-05-31] → 2021-06-30,0.10864966296113887,0.0013250437273733785,0.10720344913849678,0.4416812424577928,1.243911,0.015094,1.0,18,21,0,1.0000000000000002
2021-06,2021-06-30,2021-07-29,(after 2021-06-30] → 2021-07-29,0.025877791064841116,0.0015348218860060066,0.02430895764482366,0.5116072953353356,1.614306,0.011238,0.999,20,18,0,1.0000000000000002
2021-07,2021-07-29,2021-08-31,(after 2021-07-29] → 2021-08-31,0.02892607477795761,0.0038628091260194107,0.024986846345156133,1.2876030420064704,0.28755,0.018197,0.9998,16,19,0,1.0000000000000002
2021-08,2021-08-31,2021-09-30,(after 2021-08-31] → 2021-09-30,-0.0032607756315826686,0.004232628531384673,-0.0074062406834143335,1.410876177128224,1.903385,0.016223,1.0,18,21,0,0.9999999999999999
2021-09,2021-09-30,2021-10-29,(after 2021-09-30] → 2021-10-29,0.04464235451129417,0.002865892837636527,0.04159092692474409,0.955297612545509,0.886144,0.014527,1.0,18,18,0,1.0000000000000002
2021-10,2021-10-29,2021-11-30,(after 2021-10-29] → 2021-11-30,-0.008056423379425248,0.0018985516706575192,-0.009935534547169111,0.6328505568858397,0.529925,0.01217,1.0,22,20,0,0.9999999999999999
2021-11,2021-11-30,2021-12-31,(after 2021-11-30] → 2021-12-31,-0.04540944923602075,0.0030613772888588723,-0.048342503583996166,1.020459096286291,0.804955,0.014847,0.9977,18,22,0,0.9999999999999999
2021-12,2021-12-31,2022-01-31,(after 2021-12-31] → 2022-01-31,0.09326602041393484,0.002513739425213427,0.09051169013057003,0.837913141737809,0.184641,0.01367,0.9998,16,19,0,0.9999999999999999
2022-01,2022-01-31,2022-02-28,(after 2022-01-31] → 2022-02-28,-0.056997675644723356,0.0031281519877622782,-0.059969757932840095,1.0427173292540928,0.259944,0.013818,1.0,22,19,0,0.9999999999999998
2022-02,2022-02-28,2022-03-31,(after 2022-02-28] → 2022-03-31,0.032655516141886665,0.003535868438251978,0.02896448473245683,1.1786228127506593,0.431628,0.015558,0.9997,20,22,0,1.0000000000000002
2022-03,2022-03-31,2022-04-29,(after 2022-03-31] → 2022-04-29,0.05237112344554462,0.002551622181986922,0.04967608714879268,0.850540727328974,0.551926,0.011803,1.0,22,20,0,0.9999999999999998
2022-04,2022-04-29,2022-05-31,(after 2022-04-29] → 2022-05-31,-0.04821216492450986,0.0033500902680019735,-0.05141086061475664,1.1166967560006578,0.593242,0.011254,1.0,17,19,0,1.0
2022-05,2022-05-31,2022-06-30,(after 2022-05-31] → 2022-06-30,-0.05232481362166608,0.0028564144831403444,-0.055019720020938134,0.9521381610467814,0.407982,0.011268,1.0,21,21,0,1.0000000000000002
2022-06,2022-06-30,2022-07-29,(after 2022-06-30] → 2022-07-29,0.0030747882319157593,0.0025919434150455845,0.00046506002663004864,0.863981138348528,0.504362,0.011192,1.0,23,19,0,1.0
2022-07,2022-07-29,2022-08-31,(after 2022-07-29] → 2022-08-31,0.02933386917413272,0.004811752881715793,0.02438093216711512,1.6039176272385978,0.469289,0.013079,0.9996,15,22,0,1.0000000000000002
2022-08,2022-08-31,2022-09-30,(after 2022-08-31] → 2022-09-30,-0.030441339194537398,0.0020771295434071214,-0.03246255803692066,0.6923765144690405,0.522946,0.012963,1.0,13,21,0,1.0
2022-09,2022-09-30,2022-10-31,(after 2022-09-30] → 2022-10-31,-0.02788963192944527,0.004625276778995719,-0.03236084016294172,1.5417589263319063,0.540438,0.012345,0.9992,16,19,0,1.0
2022-10,2022-10-31,2022-11-30,(after 2022-10-31] → 2022-11-30,0.0016126255177268956,0.0024738448580350777,-0.0008639718224681125,0.8246149526783593,0.258478,0.013717,0.9993,15,20,0,0.9999999999999998
2022-11,2022-11-30,2022-12-30,(after 2022-11-30] → 2022-12-30,-0.0339833481487718,0.004436620773316934,-0.038257711290700436,1.4788735911056448,0.07117,0.015192,0.9996,12,21,0,1.0
2022-12,2022-12-30,2023-01-31,(after 2022-12-30] → 2023-01-31,-0.030703313586791237,0.004347463817819068,-0.03489607595935307,1.4491546059396891,0.247893,0.014877,0.9997,15,21,0,1.0
2023-01,2023-01-31,2023-02-28,(after 2023-01-31] → 2023-02-28,0.04600055271774006,0.004488877341831324,0.04138606540511125,1.4962924472771078,0.522403,0.015736,1.0,14,19,0,1.0
2023-02,2023-02-28,2023-03-31,(after 2023-02-28] → 2023-03-31,-0.05275582305671911,0.0018980374398078206,-0.05456512745578335,0.6326791466026068,0.942378,0.014682,1.0,14,22,0,1.0
2023-03,2023-03-31,2023-04-28,(after 2023-03-31] → 2023-04-28,0.025684303701897004,0.004745903865921287,0.020842729476682864,1.5819679553070958,0.613186,0.013383,1.0,12,18,0,1.0
2023-04,2023-04-28,2023-05-31,(after 2023-04-28] → 2023-05-31,0.06937307060319164,0.0009355263107467276,0.0683712455635832,0.3118421035822425,0.488616,0.012438,0.9998,15,21,0,1.0000000000000002
2023-05,2023-05-31,2023-06-28,(after 2023-05-31] → 2023-06-28,0.08163930490671345,0.0031977257244193763,0.0782394444695722,1.0659085748064587,0.893565,0.014108,0.9996,21,19,0,1.0
