date,ret_net,ret_gross,wealth100_net,drawdown_net
2024-10-28,0.012288676967134649,0.012288676967134649,197.40946151334958,-0.0009220445388576914
2024-10-29,-0.0001948987710749597,-0.0001948987710749597,197.37098665190206,-0.0011167636045851248
2024-10-30,-0.009120649031667342,-0.009120649031667342,195.57083515361614,-0.010227227027363783
2024-10-31,0.0032382597694351964,0.0032382597694351964,196.20414432116894,-0.007022085675764123
2024-11-04,0.00994858929508589,0.01316600263270628,198.156098771014,0.0
2024-11-05,0.010278771311793625,0.010278771311793625,200.19289999431842,0.0
2024-11-07,0.014632501743572402,0.014632501743572402,203.1222229525361,0.0
2024-11-08,0.017997944569114015,0.017997944569114015,206.77800546199109,0.0
2024-11-11,-0.0010967118967157572,-0.0010967118967157572,206.55122956342177,-0.0010967118967157852
2024-11-12,0.003029396003833007,0.003029396003833007,207.17695503284799,0.0
2024-11-13,-0.013076262447053497,-0.013076262447053497,204.46785479585708,-0.01307626244705351
2024-11-14,-0.0035790480172050894,-0.0035790480172050894,203.7360545255678,-0.01660850989307494
2024-11-15,0.011417806819321082,0.011417806819321082,206.0622734382714,-0.0053803358312696226
2024-11-19,-0.0023291686428130337,-0.0023291686428130337,205.5823196525122,-0.007696972764576704
2024-11-20,-0.014805011148609265,-0.014805011148609265,202.5386711180998,-0.022388030145595872
2024-11-21,-0.008333206906755534,-0.008333206906755534,200.85087446505335,-0.030534672964913634
2024-11-22,0.0006787005307415933,0.0006787005307415933,200.9871920601527,-0.02987669633291934
2024-11-25,-0.007572070583804413,-0.007572070583804413,199.46530285543258,-0.03722253846327994
2024-11-26,0.010367774236287229,0.010367774236287229,201.5333140834104,-0.02724067910228134
2024-11-27,0.001799726364900826,0.001799726364900826,201.89601890217213,-0.025489978505758848
2024-11-28,-0.0016900211725238638,-0.0016900211725238638,201.55481035557918,-0.027136921074920717
2024-11-29,0.001107447983208828,0.001107447983208828,201.77802182381348,-0.02605952582022697
2024-12-03,0.0013839162171489887,0.0035811432260271876,202.0572657004797,-0.024711673803471945
2024-12-04,0.0020914656407939906,0.0020914656407939906,202.47986152916502,-0.02267189177936435
2024-12-05,0.0010378181317830752,0.0010378181317830752,202.68999880078093,-0.021657602947951715
2024-12-06,-0.0005371823434639129,-0.0005371823434639129,202.5811173122284,-0.02218315120951031
2024-12-09,-0.00027385461324771576,-0.00027385461324771576,202.52563953869557,-0.022450930864462926
2024-12-10,-0.0009920187711195785,-0.0009920187711195785,202.32473030264023,-0.023420677890735653
2024-12-11,-0.0014930997976005,-0.0014930997976005,202.0226392887758,-0.024878808278917752
2024-12-12,-0.0011171611497980977,-0.0011171611497980977,201.79694744478272,-0.02596817579065336
2024-12-13,0.0029895411011410505,0.0029895411011410505,202.4002277132537,-0.023056267618359882
2024-12-16,-0.002579023581090379,-0.002579023581090379,201.8782327531632,-0.02557582854157059
2024-12-17,0.0052425878035709285,0.0052425878035709285,202.93659711400136,-0.02046732426477793
2024-12-18,0.002000705707266799,0.002000705707266799,203.34261352206067,-0.018507567649980072
2024-12-19,-0.003704335915526053,-0.003704335915526053,202.58936417563396,-0.02214334531795137
2024-12-20,0.002441459143724519,0.002441459143724519,203.0839778312219,-0.01975594824712601
2024-12-23,0.0013622843814202902,0.0013622843814202902,203.36063596233805,-0.01842057708544298
2024-12-24,-0.006819760535158472,-0.006819760535158472,201.97376512279737,-0.02511471369595919
2024-12-25,-0.002249784055300945,-0.002249784055300945,201.519367766435,-0.027307995068833635
2024-12-26,0.002362945038947759,0.002362945038947759,201.99554695675056,-0.025009577321357446
2024-12-27,-0.0025350805194138326,-0.0025350805194138326,201.48347198065215,-0.027481256548505306
2024-12-30,0.009933730349533841,0.009933730349533841,203.4849544611958,-0.017820517591190632
2024-12-31,0.00033324158393434333,0.00033324158393434333,203.55276410972726,-0.017493214544764935
2025-01-03,0.009753760660798473,0.012694313130985239,205.53816905269753,-0.007910078511824015
2025-01-06,0.010927090390649907,0.010927090390649907,207.78410320466506,0.0
2025-01-07,-0.001959822631723656,-0.001959822631723656,207.37688321669214,-0.0019598226317236733
2025-01-08,0.008294901835007844,0.008294901835007844,209.0970541058245,0.0
2025-01-09,-0.0035178401839755084,-0.0035178401839755084,208.36148408654012,-0.003517840183975496
2025-01-10,-0.00023115590926179772,-0.00023115590926179772,208.31332009823095,-0.003748182923690946
2025-01-13,0.002951934902709559,0.002951934902709559,208.92824745852826,-0.0008073124129754916
2025-01-15,0.004575411570287977,0.004575411570287977,209.88418017931002,0.0
2025-01-16,0.0035570415105006716,0.0035570415105006716,210.6307469206052,0.0
2025-01-17,0.0013159585525633992,0.0013159585525633992,210.9079282534482,0.0
2025-01-20,-0.003054375149609331,-0.003054375149609331,210.26373631853525,-0.0030543751496093785
2025-01-21,-0.015098294653897055,-0.015098294653897055,207.08911247256873,-0.018106553947514037
2025-01-22,0.006816707131786699,0.006816707131786699,208.50077830247585,-0.011413273891153541
2025-01-23,0.009720857998238078,0.009720857998238078,210.52758476087635,-0.001803362707706202
2025-01-24,0.0034012397614854198,0.0034012397614854198,211.2436395530545,0.0
2025-01-27,0.000670115905525341,0.000670115905525341,211.38519727586007,0.0
2025-01-28,0.0003464499252261991,0.0003464499252261991,211.45843166165022,0.0
2025-01-29,0.0071574929072064815,0.0071574929072064815,212.9719438864375,0.0
2025-01-30,0.006155833064903137,0.006155833064903137,214.28296362051032,0.0
2025-01-31,-0.004570960559136948,-0.004570960559136948,213.30348464530599,-0.004570960559136861
2025-02-04,-0.0034316451589154794,-0.00018867662136154138,212.5715027748431,-0.007986919803378068
2025-02-05,0.0005159891545780609,0.0005159891545780609,212.68118736484732,-0.007475051812796951
2025-02-06,0.005900502635099857,0.005900502635099857,213.93611327132973,-0.0016186557406161484
