month,decision_date,holding_start_exclusive,holding_end_inclusive,holding_period_label,cell,ticker,recommendation,weight,alpha,liquidity_L,vmq,realized_return_holding,contribution_gross,portfolio_alpha,portfolio_cvar,portfolio_liquidity,turnover,transaction_cost,gross_return,net_return
2023-06,2023-06-28,2023-06-28,2023-07-31,(2023-06 rebalance] → 2023-07,C4,FBR,BUY,0.00034838970236786374,0.21772354729648177,0.05167706435878006,68144.935,0.019644527595883865,6.843951122287266e-06,0.946572,0.008772,0.7625,1.247195756857111,0.0037415872705713333,0.052066043597358336,0.048170460785256
2023-06,2023-06-28,2023-06-28,2023-07-31,(2023-06 rebalance] → 2023-07,C4,AFM,BUY,0.0003116973088816328,0.49046657948437944,0.04462848301677082,58517.0,0.05333333333333323,1.662385647368705e-05,0.946572,0.008772,0.7625,1.247195756857111,0.0037415872705713333,0.052066043597358336,0.048170460785256
2023-06,2023-06-28,2023-06-28,2023-07-31,(2023-06 rebalance] → 2023-07,C4,ATH,BUY,0.00021434739226084106,0.30347973964756186,0.7175016302533955,308256.4024999999,0.055039787798408346,1.1797634985178888e-05,0.946572,0.008772,0.7625,1.247195756857111,0.0037415872705713333,0.052066043597358336,0.048170460785256
2023-06,2023-06-28,2023-06-28,2023-07-31,(2023-06 rebalance] → 2023-07,C4,BCI,BUY,0.0001451990152282385,0.45259944113664585,1.0,7488214.477500001,0.05676855895196509,8.242738855751534e-06,0.946572,0.008772,0.7625,1.247195756857111,0.0037415872705713333,0.052066043597358336,0.048170460785256
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,AKT,BUY,0.40006480562054747,1.391047724972205,1.0,6380450.305,0.022474685107434,0.008991330528888597,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,ADI,BUY,0.1685503381080414,2.123146820090217,1.0,4485967.051000001,0.10344827586206895,0.01743624187324566,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,CMA,BUY,0.10546704707237689,0.5247270523576801,0.9999999999995866,2032144.5,-0.032471835652750136,-0.0034247086193150847,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,RIS,BUY,0.06095286191710411,0.44692483663421956,0.9999671186826061,895160.8149999998,0.11512648425400118,0.0070172886977357945,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,SOT,BUY,0.04588749943972362,0.27724434478594473,0.992812391403546,558011.45,-0.04503753127606336,-0.002066659691196892,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,MIC,NEUTRAL,0.03881774514742722,-0.09460352401796135,0.9896567906092791,535064.25,-0.011194029850746245,-0.0004345269979189605,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,CMT,BUY,0.0381817427565693,0.2619124279006854,0.9999999999999882,2255001.7,-0.007492507492507516,-0.00028607699368059003,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,LBV,BUY,0.03713334069821906,0.4291489042220048,0.9999999999999993,2436478.15,-0.0527291452111226,-0.0019580093138504813,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,ATW,BUY,0.027243670968823453,0.46613056010037374,1.0,12572968.372499999,-0.004565217391304444,-0.0001243732805098488,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,TGC,BUY,0.01384457827531275,0.44454351699315375,0.9999999999999998,2521328.0025,-0.030526668903052778,-0.0004226288571128698,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,TMA,BUY,0.012887140455215123,0.628943187516372,0.9999668494864936,894651.2,-0.06396255850234012,-0.0008242944752945713,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,EQD,NEUTRAL,0.012400238703750744,0.09932615125861975,0.9935516335702447,564841.2,0.044074436826640584,0.0005465335373837257,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,GAZ,BUY,0.009581894036373068,0.3269701296502504,0.9999999987381776,1530669.3,-0.022222222222222254,-0.0002129309785860685,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,BOA,BUY,0.0061735840828869275,0.37381904055772835,1.0,3190740.0575,-0.0027917364600781314,-1.7235019773553448e-05,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,SBM,NEUTRAL,0.005256866609761494,0.09742169998182082,0.99999695180897,1043809.95,0.0,0.0,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,CDM,NEUTRAL,0.00341877448178417,0.02774455036132238,0.20324336135239288,164615.925,0.018005540166204925,6.15568812509613e-05,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,INV,NEUTRAL,0.0029565057363508205,-0.04581258404757643,0.019824197546121008,6198.209,-0.021052631578947323,-6.224222602843819e-05,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,ATL,NEUTRAL,0.0029296626735362307,-0.09104515148389553,0.9913784860220385,546552.23,0.0,0.0,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,BCI,BUY,0.0020512394598493394,0.7452619791468451,0.9995608079146594,733133.4,0.07438016528925617,0.00015257153007143843,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,MNG,BUY,0.0018216738953753418,0.4790074311849496,0.9999761856499245,915324.9,-0.0657084188911704,-0.00011969931140043309,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,DHO,BUY,0.001261894588994602,0.2927545148212567,0.9999999986972805,1528675.736,-0.06598373003916835,-8.326451189810712e-05,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,CIH,BUY,0.0009378338152477214,0.6393186404796548,0.9999999724067657,1337855.95,0.016124661246612382,1.512225257648757e-05,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,BCP,BUY,0.0006984956477970129,0.2910219083977557,1.0,14000373.75,0.0018939393939394478,1.3229084238580167e-06,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,SID,BUY,0.0005132969678101945,0.5830667029210659,0.9999999999992664,1996302.0399999998,-0.051724137931034475,-2.6549843162596264e-05,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,RDS,BUY,0.0002883282235720061,1.2883255036542485,0.9989910155346685,681112.59,-0.10326659641728142,-2.977467429932204e-05,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,ARD,BUY,0.0002835674577759538,0.614412070174257,0.9999825247875991,934669.3525,-0.03679653679653683,-1.0434300394353286e-05,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,MUT,BUY,0.0002565085185964414,0.6720714986780331,0.9999999999999998,2526895.7175000003,-0.028340080971659964,-7.269472186943696e-06,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-07,2023-07-31,2023-07-31,2023-08-31,(2023-07 rebalance] → 2023-08,C4,TQM,BUY,0.00013886464117729406,0.35434422902873,0.999999999999986,2243716.8,0.0172570390554041,2.39639253621124e-06,1.070265,0.010659,0.9935,1.1745552599614903,0.0035236657798844726,0.024478075164801494,0.020890296892383864
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,AKT,BUY,0.3972758907213065,1.791440492458289,1.0,5632801.665,0.15393880992531916,0.06115617782965906,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,ADI,BUY,0.12148303936890413,1.951859758210877,1.0,3926191.3200000003,0.20947368421052648,0.02544749982569678,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,LES,BUY,0.07701089117756829,0.5194155511413663,1.0,3862276.2449999996,0.095617529880478,0.007363591188293376,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,JET,BUY,0.04947831935732131,0.9203908458435932,0.99999995641873,1309289.895,-0.072039072039072,-0.0035643722125542807,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,RIS,BUY,0.04374724494945226,0.9192758951165168,0.9999999999999603,2178454.9825,-0.009433962264150941,-0.00041270985801370044,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,CMA,BUY,0.04267846832124329,0.298505073498991,0.9999999999999969,2339678.7,0.020547945205479534,0.0008769548285187013,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,MUT,BUY,0.03878464034065093,0.4439198156313878,0.9999775087274692,918897.5449999999,0.02114164904862581,0.000819971254559217,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,SAH,BUY,0.034802271998427906,0.3698993058766331,0.9994556521558494,719711.1,0.0,0.0,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,AFI,NEUTRAL,0.03382406294443895,0.018274165909360388,0.08596891840224842,102257.5775,-0.07171428571428573,-0.0024256685140154797,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,LBV,BUY,0.032363973566434556,0.47729380507940283,1.0,2625726.45,0.0006525995214270441,2.11207136609327e-05,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,TMA,BUY,0.030648481847422634,0.6259427670321274,0.9927306983541194,557299.95,-0.04006677796327207,-0.0012279859170920573,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,DWY,NEUTRAL,0.029212811433758045,0.06301806196895796,0.9979439897925694,636558.115,-0.014104372355430161,-0.00041202837001069113,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,GAZ,BUY,0.018526427848628308,0.820826477579639,0.9999998229837281,1221689.0,-0.045454545454545414,-0.0008421103567558314,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,RDS,BUY,0.018522008098460156,1.2284151965288201,0.9259218514532707,407854.3275,0.30071599045346065,0.005569864010515465,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,TGC,BUY,0.008752238208554535,0.6572570167720813,0.9985728314434288,659414.665,0.0714285714285714,0.0006251598720396094,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,IBC,BUY,0.005069194048310844,0.3176042159659134,0.018664340488311965,2356.2635,-0.05762304921968775,-0.00029210241814996396,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,BOA,BUY,0.0038635235119941513,0.5608562006830843,1.0,4308750.470000001,0.03672316384180796,0.00014188080693763853,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,EQD,NEUTRAL,0.002944804911203499,-0.0417501346178825,0.9994386290991296,717785.45,0.031894934333958735,9.392435926915478e-05,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,MDP,NEUTRAL,0.002746198284778524,-0.032603348032295164,0.22675512306242585,173329.681,-0.07258064516129037,-0.0001993208432500543,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,CIH,BUY,0.0024168325267874225,0.5202199953494117,0.9999979051139026,1067250.58,0.054356733133023694,0.00013137112068579526,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,ATH,NEUTRAL,0.0021589286065528865,-0.05348328453382164,0.9998793823283061,813922.7579999999,-0.05533488563210531,-0.00011946406753148447,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,CMT,BUY,0.0011669481095658712,1.2625402059446504,0.9928022455479221,557922.65,-0.06988436400201103,-8.155142646036e-05,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,ATW,BUY,0.000977427506290736,0.41440241879923895,1.0,15413165.304999998,0.00219780219780219,2.1481923215180937e-06,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,MNG,BUY,0.0009316406212877499,0.5555327605872717,0.9996308600834183,743997.85,-0.0776536312849162,-7.234527729552919e-05,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,SID,BUY,0.00036575170274466795,0.5261258762428145,0.9999997614605088,1203045.67,-0.012567324955116699,-4.59652050127949e-06,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,BCP,BUY,0.00013921246432984505,0.5851121227862894,1.0,16207307.092500001,-0.019423076923076987,-2.7039344033296915e-06,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-08,2023-08-31,2023-08-31,2023-09-27,(2023-08 rebalance] → 2023-09,C4,MSA,BUY,0.00010876752358206243,0.31750621146348706,1.0,6958993.415000001,0.011278195488721776,1.2267013937826558e-06,1.205465,0.009961,0.9602,0.6387162619753675,0.0019161487859261025,0.09301573893146964,0.0909285974866818
2023-09,2023-09-27,2023-09-27,2023-10-31,(2023-09 rebalance] → 2023-10,C4,AKT,BUY,0.3271561160845548,1.1389660195460727,1.0,8180759.1375,0.05427974947807934,0.017757952021291077,1.000584,0.010734,0.9876,0.6113102456719869,0.0018339307370159607,0.03499224060875883,0.033090215591056626
2023-09,2023-09-27,2023-09-27,2023-10-31,(2023-09 rebalance] → 2023-10,C4,ADI,BUY,0.16776962010806643,1.6839897128228611,1.0,12172992.123,-0.0013636363636364557,-0.0002287767546928333,1.000584,0.010734,0.9876,0.6113102456719869,0.0018339307370159607,0.03499224060875883,0.033090215591056626
2023-09,2023-09-27,2023-09-27,2023-10-31,(2023-09 rebalance] → 2023-10,C4,CMA,BUY,0.09563588029787878,0.5753646968678457,0.9999999999999998,2491748.75,0.10810810810810811,0.010339014086257167,1.000584,0.010734,0.9876,0.6113102456719869,0.0018339307370159607,0.03499224060875883,0.033090215591056626
