cell,mois,date_rebalance,status,error,n_candidates,n_positions_selected,expected_alpha_selected,cvar_selected,liquidity_L_selected,n_pareto
2,2023-06,2023-06-28,ok,,57,51,0.36893,0.007728,0.6096,20
2,2023-07,2023-07-31,ok,,56,51,0.397938,0.01163,0.7971,17
2,2023-08,2023-08-31,ok,,45,40,0.376364,0.012796,0.8286,22
2,2023-09,2023-09-27,ok,,53,49,0.231951,0.011766,0.7693,19
2,2023-10,2023-10-31,ok,,52,46,0.261507,0.012998,0.7893,19
2,2023-11,2023-11-30,ok,,52,35,0.285186,0.012793,0.8794,20
2,2023-12,2023-12-29,ok,,54,50,0.233315,0.010917,0.8857,18
2,2024-01,2024-01-31,ok,,51,47,0.288724,0.010425,0.7822,16
2,2024-02,2024-02-29,ok,,48,42,0.315229,0.011707,0.8707,20
2,2024-03,2024-03-29,ok,,54,44,0.301047,0.008923,0.7781,21
2,2024-04,2024-04-30,ok,,53,43,0.315661,0.010062,0.855,19
2,2024-05,2024-05-31,ok,,51,49,0.250529,0.009105,0.7083,21
2,2024-06,2024-06-28,ok,,50,46,0.2931,0.010437,0.8188,20
2,2024-07,2024-07-31,ok,,46,42,0.369376,0.008779,0.8604,20
2,2024-08,2024-08-30,ok,,54,46,0.321884,0.010172,0.8672,19
2,2024-09,2024-09-30,ok,,50,46,0.413888,0.009052,0.8138,20
2,2024-10,2024-10-31,ok,,49,42,0.429313,0.011447,0.8081,24
2,2024-11,2024-11-29,ok,,50,44,0.406388,0.009574,0.8825,21
2,2024-12,2024-12-31,ok,,46,43,0.386627,0.008957,0.8387,23
2,2025-01,2025-01-31,ok,,43,42,0.301069,0.008303,0.9536,22
2,2025-02,2025-02-28,ok,,46,46,0.321103,0.007932,0.9304,23
2,2025-03,2025-03-28,ok,,45,36,0.390868,0.006789,0.9514,17
2,2025-04,2025-04-30,ok,,43,39,0.285229,0.010572,0.963,25
2,2025-05,2025-05-30,ok,,41,38,0.26078,0.010604,0.8598,23
2,2025-06,2025-06-30,ok,,46,36,0.339576,0.010489,0.977,23
3,2018-07,2018-07-31,ok,,29,27,0.635038,0.009615,0.4113,19
3,2018-08,2018-08-31,ok,,33,29,0.53433,0.008121,0.6245,19
3,2018-09,2018-09-28,ok,,25,25,0.76731,0.00807,0.608,24
3,2018-10,2018-10-31,ok,,21,20,0.770295,0.011048,0.3706,24
3,2018-11,2018-11-30,ok,,21,20,0.649175,0.010547,0.5001,19
3,2018-12,2018-12-31,ok,,23,22,0.8339,0.009444,0.6951,21
3,2019-01,2019-01-31,ok,,28,28,0.662135,0.009989,0.5705,24
3,2019-02,2019-02-28,ok,,26,25,0.552844,0.009335,0.7484,20
3,2019-03,2019-03-29,ok,,30,27,0.529134,0.008617,0.3604,23
3,2019-04,2019-04-30,ok,,34,30,0.594389,0.007408,0.6291,24
3,2019-05,2019-05-31,ok,,25,25,0.580614,0.008723,0.4604,22
3,2019-06,2019-06-28,ok,,24,23,0.722256,0.009111,0.5373,22
3,2019-07,2019-07-31,ok,,29,28,0.674415,0.008503,0.5692,25
3,2019-08,2019-08-30,ok,,24,22,0.849095,0.009029,0.4797,19
3,2019-09,2019-09-30,ok,,28,26,0.686277,0.006922,0.5521,22
3,2019-10,2019-10-31,ok,,34,29,0.533351,0.007045,0.6558,23
3,2019-11,2019-11-29,ok,,32,29,0.58861,0.007614,0.7483,18
3,2019-12,2019-12-31,ok,,39,37,0.335812,0.007327,0.8619,21
3,2020-01,2020-01-31,ok,,35,35,0.433283,0.007743,0.7611,24
3,2020-02,2020-02-28,ok,,32,31,0.589129,0.0088,0.7173,17
3,2020-03,2020-03-31,ok,,30,23,0.897056,0.012891,0.5495,23
3,2020-04,2020-04-30,ok,,28,28,0.913335,0.013363,0.5918,19
3,2020-05,2020-05-29,ok,,27,26,0.957378,0.013494,0.5463,20
3,2020-06,2020-06-30,ok,,32,30,0.744589,0.011985,0.6052,21
3,2020-07,2020-07-29,ok,,35,31,0.601044,0.008976,0.424,22
3,2020-08,2020-08-31,ok,,34,27,0.602953,0.013363,0.5345,22
3,2020-09,2020-09-30,ok,,29,26,0.884094,0.015367,0.4849,25
3,2020-10,2020-10-28,ok,,27,27,0.75826,0.015032,0.5667,22
3,2020-11,2020-11-30,ok,,27,25,0.89888,0.015585,0.6025,25
3,2020-12,2020-12-31,ok,,27,27,1.102896,0.01426,0.557,22
3,2021-01,2021-01-29,ok,,28,25,1.113486,0.018416,0.8406,20
3,2021-02,2021-02-26,ok,,30,26,1.036099,0.0157,0.602,22
3,2021-03,2021-03-31,ok,,31,29,0.835246,0.015378,0.7658,25
3,2021-04,2021-04-30,ok,,32,28,0.820391,0.014376,0.8749,23
3,2021-05,2021-05-31,ok,,28,27,0.923871,0.01452,0.8882,25
3,2021-06,2021-06-30,ok,,35,28,1.050197,0.014297,0.9032,25
3,2021-07,2021-07-29,ok,,41,39,0.738506,0.016948,0.7551,18
3,2021-08,2021-08-31,ok,,34,33,1.028008,0.016658,0.8089,20
3,2021-09,2021-09-30,ok,,38,34,0.754221,0.014885,0.8488,25
3,2021-10,2021-10-29,ok,,41,35,0.697113,0.014286,0.8765,19
3,2021-11,2021-11-30,ok,,42,34,0.722351,0.014066,0.8219,22
3,2021-12,2021-12-31,ok,,35,33,0.866537,0.012286,0.622,23
3,2022-01,2022-01-31,ok,,40,33,0.688056,0.011823,0.8304,22
3,2022-02,2022-02-28,ok,,36,31,0.787827,0.01022,0.6635,23
3,2022-03,2022-03-31,ok,,42,34,0.593568,0.009455,0.7862,22
3,2022-04,2022-04-29,ok,,42,36,0.62352,0.008398,0.746,19
3,2022-05,2022-05-31,ok,,39,36,0.585233,0.00995,0.8052,20
3,2022-06,2022-06-30,ok,,39,32,0.54105,0.010292,0.9026,17
3,2022-07,2022-07-29,ok,,39,33,0.695745,0.010777,0.716,17
3,2022-08,2022-08-31,ok,,37,31,0.73051,0.008152,0.5866,23
3,2022-09,2022-09-30,ok,,39,38,0.720485,0.009839,0.7589,24
3,2022-10,2022-10-31,ok,,40,36,0.523454,0.011738,0.7457,26
3,2022-11,2022-11-30,ok,,41,35,0.620156,0.012084,0.4478,23
3,2022-12,2022-12-30,ok,,39,36,0.63255,0.010208,0.5901,21
3,2023-01,2023-01-31,ok,,42,34,0.787177,0.011938,0.5045,23
3,2023-02,2023-02-28,ok,,38,35,0.716096,0.010306,0.503,21
3,2023-03,2023-03-31,ok,,41,39,0.816299,0.010222,0.5995,22
3,2023-04,2023-04-28,ok,,38,38,0.771295,0.009996,0.5057,22
3,2023-05,2023-05-31,ok,,37,35,0.946536,0.009794,0.4892,19
3,2023-06,2023-06-28,ok,,44,38,0.733862,0.008916,0.6903,16
3,2023-07,2023-07-31,ok,,49,47,0.720326,0.01231,0.8375,20
3,2023-08,2023-08-31,ok,,46,38,0.678371,0.011421,0.7127,19
3,2023-09,2023-09-27,ok,,51,42,0.685053,0.012647,0.7885,20
3,2023-10,2023-10-31,ok,,42,36,0.647852,0.011264,0.8206,23
3,2023-11,2023-11-30,ok,,43,41,0.729179,0.011603,0.7703,19
3,2023-12,2023-12-29,ok,,39,38,0.848959,0.008905,0.7757,19
3,2024-01,2024-01-31,ok,,33,33,1.192738,0.012121,0.8631,22
3,2024-02,2024-02-29,ok,,32,29,1.213587,0.012474,0.9095,22
3,2024-03,2024-03-29,ok,,35,31,1.147527,0.011835,0.9845,20
3,2024-04,2024-04-30,ok,,37,36,1.091991,0.011461,0.9136,24
3,2024-05,2024-05-31,ok,,38,37,1.005648,0.011373,0.8379,24
3,2024-06,2024-06-28,ok,,39,37,0.837956,0.010375,0.8448,25
3,2024-07,2024-07-31,ok,,36,30,0.932184,0.010702,0.9192,22
3,2024-08,2024-08-30,ok,,35,33,1.068722,0.010942,0.8965,24
3,2024-09,2024-09-30,ok,,31,31,1.113211,0.011175,0.8453,30
3,2024-10,2024-10-31,ok,,26,23,1.010936,0.011065,0.7864,23
3,2024-11,2024-11-29,ok,,29,29,0.991044,0.010397,0.9284,23
3,2024-12,2024-12-31,ok,,34,31,0.824,0.009913,0.8895,22
3,2025-01,2025-01-31,ok,,38,37,0.644889,0.008818,0.9258,21
3,2025-02,2025-02-28,ok,,38,32,0.600213,0.008915,0.9524,22
3,2025-03,2025-03-28,ok,,39,37,0.639244,0.007973,0.9602,24
3,2025-04,2025-04-30,ok,,46,43,0.547951,0.011465,0.9392,21
3,2025-05,2025-05-30,ok,,37,35,0.600608,0.01187,0.8971,22
3,2025-06,2025-06-30,ok,,41,37,0.772356,0.011806,0.9872,25
4,2018-07,2018-07-31,ok,,29,28,0.58005,0.009709,0.4388,20
4,2018-08,2018-08-31,ok,,33,29,0.590784,0.008057,0.544,18
4,2018-09,2018-09-28,ok,,25,24,0.7737,0.008269,0.6279,25
4,2018-10,2018-10-31,ok,,19,18,0.807712,0.011504,0.27,21
4,2018-11,2018-11-30,ok,,23,23,0.674193,0.010477,0.4753,22
4,2018-12,2018-12-31,ok,,22,21,0.91468,0.009143,0.6669,23
4,2019-01,2019-01-31,ok,,28,26,0.616746,0.010009,0.6014,21
4,2019-02,2019-02-28,ok,,27,26,0.496588,0.009061,0.7439,19
4,2019-03,2019-03-29,ok,,30,28,0.534568,0.0086,0.3782,20
4,2019-04,2019-04-30,ok,,34,31,0.519059,0.006956,0.5867,21
4,2019-05,2019-05-31,ok,,26,26,0.615961,0.009023,0.4873,20
4,2019-06,2019-06-28,ok,,25,22,0.664323,0.00914,0.6172,22
4,2019-07,2019-07-31,ok,,29,28,0.624969,0.007241,0.4945,24
4,2019-08,2019-08-30,ok,,24,23,0.817919,0.008996,0.4644,20
4,2019-09,2019-09-30,ok,,29,28,0.666682,0.007261,0.6139,22
4,2019-10,2019-10-31,ok,,34,30,0.523665,0.007206,0.6668,26
4,2019-11,2019-11-29,ok,,32,28,0.605967,0.007824,0.7535,18
4,2019-12,2019-12-31,ok,,38,33,0.399428,0.007528,0.8532,22
4,2020-01,2020-01-31,ok,,35,34,0.357327,0.007685,0.815,20
4,2020-02,2020-02-28,ok,,33,31,0.54947,0.00886,0.7554,18
4,2020-03,2020-03-31,ok,,30,28,0.886001,0.013849,0.6086,22
4,2020-04,2020-04-30,ok,,28,25,0.920918,0.013207,0.5668,20
4,2020-05,2020-05-29,ok,,27,24,0.90712,0.014165,0.5899,18
4,2020-06,2020-06-30,ok,,31,28,0.73643,0.010918,0.5409,24
4,2020-07,2020-07-29,ok,,35,31,0.576659,0.010825,0.5157,21
4,2020-08,2020-08-31,ok,,34,34,0.570478,0.015805,0.6448,20
4,2020-09,2020-09-30,ok,,29,27,0.880595,0.013874,0.4035,22
4,2020-10,2020-10-28,ok,,26,25,0.759552,0.014793,0.591,23
4,2020-11,2020-11-30,ok,,27,24,0.885427,0.015595,0.6107,24
4,2020-12,2020-12-31,ok,,27,26,1.001233,0.013191,0.5162,20
4,2021-01,2021-01-29,ok,,28,25,1.068401,0.017828,0.8387,19
4,2021-02,2021-02-26,ok,,30,29,0.862655,0.016593,0.672,21
4,2021-03,2021-03-31,ok,,32,30,0.852237,0.014997,0.7528,23
4,2021-04,2021-04-30,ok,,31,29,0.817422,0.014026,0.8474,27
4,2021-05,2021-05-31,ok,,28,26,1.059609,0.014568,0.8365,24
4,2021-06,2021-06-30,ok,,33,29,1.007651,0.011879,0.8553,25
4,2021-07,2021-07-29,ok,,42,40,0.614241,0.014051,0.7054,23
4,2021-08,2021-08-31,ok,,35,31,0.936905,0.016464,0.8139,20
4,2021-09,2021-09-30,ok,,38,35,0.72869,0.016023,0.8488,23
4,2021-10,2021-10-29,ok,,41,33,0.697881,0.012853,0.8727,21
4,2021-11,2021-11-30,ok,,42,38,0.696229,0.014648,0.8618,21
4,2021-12,2021-12-31,ok,,35,29,0.850786,0.013357,0.7173,23
4,2022-01,2022-01-31,ok,,40,35,0.673677,0.011317,0.8223,21
4,2022-02,2022-02-28,ok,,36,33,0.690444,0.008517,0.6754,20
4,2022-03,2022-03-31,ok,,42,36,0.618563,0.010326,0.8097,22
4,2022-04,2022-04-29,ok,,44,39,0.630433,0.008317,0.7421,18
4,2022-05,2022-05-31,ok,,39,32,0.586774,0.009953,0.7986,23
4,2022-06,2022-06-30,ok,,39,36,0.460056,0.009362,0.8028,19
4,2022-07,2022-07-29,ok,,39,32,0.688828,0.009613,0.5975,20
4,2022-08,2022-08-31,ok,,37,33,0.785022,0.009117,0.6301,21
4,2022-09,2022-09-30,ok,,39,35,0.702031,0.009367,0.7075,22
4,2022-10,2022-10-31,ok,,40,39,0.450523,0.011138,0.6774,20
4,2022-11,2022-11-30,ok,,41,38,0.615693,0.013237,0.5836,22
4,2022-12,2022-12-30,ok,,39,36,0.540151,0.010853,0.6774,22
4,2023-01,2023-01-31,ok,,41,36,0.752645,0.010593,0.4752,22
4,2023-02,2023-02-28,ok,,39,35,0.677867,0.01105,0.4931,21
4,2023-03,2023-03-31,ok,,39,34,0.78386,0.007657,0.508,19
4,2023-04,2023-04-28,ok,,37,34,0.814581,0.009906,0.519,21
4,2023-05,2023-05-31,ok,,38,35,0.90934,0.010833,0.5662,21
4,2023-06,2023-06-28,ok,,44,37,0.901499,0.008935,0.6089,18
4,2023-07,2023-07-31,ok,,49,43,0.699668,0.011994,0.899,20
4,2023-08,2023-08-31,ok,,46,38,0.642401,0.011093,0.7698,19
4,2023-09,2023-09-27,ok,,51,47,0.56539,0.011714,0.8357,20
4,2023-10,2023-10-31,ok,,42,36,0.658171,0.012063,0.8414,24
4,2023-11,2023-11-30,ok,,43,39,0.641128,0.01071,0.7665,22
4,2023-12,2023-12-29,ok,,39,36,0.822161,0.008802,0.7522,16
4,2024-01,2024-01-31,ok,,33,30,1.117224,0.013146,0.95,22
4,2024-02,2024-02-29,ok,,32,30,1.253695,0.012783,0.9508,21
4,2024-03,2024-03-29,ok,,35,29,1.112779,0.010879,0.9527,20
4,2024-04,2024-04-30,ok,,37,35,1.018788,0.010105,0.9022,23
4,2024-05,2024-05-31,ok,,38,34,0.83277,0.010263,0.8246,22
4,2024-06,2024-06-28,ok,,39,37,0.949,0.012159,0.9036,24
4,2024-07,2024-07-31,ok,,36,34,0.941809,0.01083,0.9326,22
4,2024-08,2024-08-30,ok,,35,33,1.052801,0.010265,0.8722,21
4,2024-09,2024-09-30,ok,,31,30,1.050334,0.010085,0.7976,29
4,2024-10,2024-10-31,ok,,26,23,1.073586,0.011569,0.7958,22
4,2024-11,2024-11-29,ok,,29,29,0.964154,0.009936,0.8965,19
4,2024-12,2024-12-31,ok,,34,31,1.02446,0.010459,0.8342,28
4,2025-01,2025-01-31,ok,,38,37,0.599119,0.008836,0.939,23
4,2025-02,2025-02-28,ok,,38,37,0.665554,0.00921,0.9547,24
4,2025-03,2025-03-28,ok,,39,33,0.673733,0.007867,0.9369,18
4,2025-04,2025-04-30,ok,,46,40,0.55528,0.011354,0.9289,21
4,2025-05,2025-05-30,ok,,37,36,0.581078,0.011919,0.9201,22
4,2025-06,2025-06-30,ok,,41,33,0.830106,0.011918,0.9823,23
