sell_mode,cell,configuration,mois,date_rebalance,ret_month,turnover,liquidite_ponderee,n_titres,w_BUY,w_NEUTRAL,w_SELL,n_BUY,n_NEUTRAL,n_SELL,contrib_BUY,contrib_NEUTRAL,contrib_SELL,n_days
exclude,2,C2 Ridge + régime,2025-05,2025-05-30,0.029773223708882357,0.9819991841372238,0.8464483104915761,37,0.7865592111255747,0.2132325449114804,0.0,25,12,0,0.0339130415822651,-0.0006933395990072919,0.0,18
exclude,2,C2 Ridge + régime,2025-06,2025-06-30,-0.11496116670309464,0.9514133953881074,0.7886920563609338,41,0.45061476753940394,0.5493006090331115,0.0,23,18,0,-0.08340766579807467,-0.08629530256149708,0.0,189
exclude,3,C3 Hybrid,2018-07,2018-07-31,0.006390338580847255,0.99997406519133,0.0,27,0.7716320268007596,0.22834203839057043,0.0,19,8,0,0.006476535489500582,0.0014838024150291174,0.0,17
exclude,3,C3 Hybrid,2018-08,2018-08-31,-0.019757550685363445,1.1348515022168484,0.0,31,0.9138456845096143,0.08615387842095325,0.0,21,10,0,-0.018165468868512332,-0.000398286273736781,0.0,18
exclude,3,C3 Hybrid,2018-09,2018-09-28,-0.014740389989444824,1.2820359934792234,0.0,25,0.7399743307446611,0.2599213142624864,0.0,18,7,0,-0.01495058762402791,0.003615044575074646,0.0,23
exclude,3,C3 Hybrid,2018-10,2018-10-31,0.0055588819708700665,1.33425083377972,0.0,20,0.8243699584974459,0.17562989129801115,0.0,12,8,0,0.01139355238078451,-0.0025123659876253247,0.0,18
exclude,3,C3 Hybrid,2018-11,2018-11-30,0.025954294235451814,0.9090215713776361,0.0,19,0.6544533668048147,0.34540922299103544,0.0,11,8,0,0.024856983790215705,0.002065338997366936,0.0,20
exclude,3,C3 Hybrid,2018-12,2018-12-31,0.011050956196256623,0.7482680392019136,0.0,18,0.9856118222351534,0.014268125192448218,0.0,13,5,0,0.01120248821113506,0.0005379494897926773,0.0,20
exclude,3,C3 Hybrid,2019-01,2019-01-31,0.0054535565263467145,0.8381343938066049,0.0,25,0.7354141596125843,0.264584133429523,0.0,12,13,0,-0.003769100384896607,0.010842459972461457,0.0,19
exclude,3,C3 Hybrid,2019-02,2019-02-28,-0.019346889586056126,0.73376875669849,0.0,22,0.7612482229770899,0.23871146904050441,0.0,11,11,0,-0.021342583137717603,0.00268561882108869,0.0,20
exclude,3,C3 Hybrid,2019-03,2019-03-29,-0.009867008243120479,1.2543522440211123,0.0,27,0.34315330659230625,0.6567172148506253,0.0,9,18,0,-0.01621956347316384,0.009352991991356663,0.0,22
exclude,3,C3 Hybrid,2019-04,2019-04-30,-0.0200975086314934,0.4937220696755581,0.0,28,0.5657048023405478,0.4342101574803996,0.0,9,19,0,-0.01725689663832737,-0.00250988429712915,0.0,21
exclude,3,C3 Hybrid,2019-05,2019-05-31,0.017341733185706865,0.9234042015201241,0.0,24,0.3516261225164587,0.6483652558878205,0.0,7,17,0,0.007367064675361293,0.010873483439300807,0.0,16
exclude,3,C3 Hybrid,2019-06,2019-06-28,0.018691758466187425,1.024403125796168,0.0,22,0.4101320954594539,0.5897370241632237,0.0,7,15,0,0.010686264409077608,0.00985247179832296,0.0,22
exclude,3,C3 Hybrid,2019-07,2019-07-31,0.016304620509024037,1.3326509498529193,0.0,28,0.6925952241047298,0.30732670809349594,0.0,16,12,0,0.015160461648165242,0.004860407675143501,0.0,16
exclude,3,C3 Hybrid,2019-08,2019-08-30,0.023818685798446815,0.7572534601352462,0.0,21,0.645311043723062,0.3546678773740393,0.0,15,6,0,0.015183813817699642,0.010518063972539531,0.0,20
exclude,3,C3 Hybrid,2019-09,2019-09-30,0.003899585633970304,1.3939706959195073,0.0,26,0.7156511227873646,0.284339989725239,0.0,14,12,0,0.012062108890183946,-0.005071894471195187,0.0,22
exclude,3,C3 Hybrid,2019-10,2019-10-31,0.014146459835861602,1.0284913641458433,0.0,28,0.49492223086744785,0.5049018639176478,0.0,11,17,0,0.00411041682199771,0.012413470142672536,0.0,17
exclude,3,C3 Hybrid,2019-11,2019-11-29,-0.0002992336679500385,1.0986207155651284,0.0,27,0.7194003503220178,0.28053222120351384,0.0,16,11,0,-0.003379006750693652,0.005530766754013772,0.0,21
exclude,3,C3 Hybrid,2019-12,2019-12-31,0.015167025704870385,0.8599851142897704,0.0,32,0.6947118309939855,0.3052171942495176,0.0,14,18,0,0.008382469094306632,0.008981257014182438,0.0,21
exclude,3,C3 Hybrid,2020-01,2020-01-31,-0.01132818102422084,1.0615364365131268,0.0,30,0.718237582538643,0.2816578132235346,0.0,17,13,0,-0.005812877027386386,-0.0033320482677032612,0.0,19
exclude,3,C3 Hybrid,2020-02,2020-02-28,-0.15304431100000448,0.7117114682775089,0.0,31,0.5351491786801466,0.4648508213198538,0.0,15,16,0,-0.09196390390673595,-0.058726446610140454,0.0,21
exclude,3,C3 Hybrid,2020-03,2020-03-31,-0.008050262608012448,1.6618361491000466,0.0,25,0.7497380512080283,0.2500809740499743,0.0,10,15,0,0.005290949260220929,-0.008693292062339871,0.0,21
exclude,3,C3 Hybrid,2020-04,2020-04-30,0.01012935799988024,1.2864982128307554,0.0,20,0.9140480499694413,0.08586943396862755,0.0,14,6,0,0.010564619664249745,0.0047106331022178745,0.0,18
exclude,3,C3 Hybrid,2020-05,2020-05-29,-0.0001867450232614365,1.1194285775808008,0.0,22,0.8546595351594871,0.1452547801705705,0.0,15,7,0,-0.0009472593303460531,0.004261076224629422,0.0,21
exclude,3,C3 Hybrid,2020-06,2020-06-30,-0.026633985763025225,1.4118375072217404,0.0,24,0.8486775990831352,0.15123695993770564,0.0,14,10,0,-0.02217129248575214,-0.00028279531560577114,0.0,20
exclude,3,C3 Hybrid,2020-07,2020-07-29,-0.00881694166186442,1.065355699483995,0.0,25,0.9050158329931388,0.09482983565917269,0.0,18,7,0,-0.0015552326683178146,-0.0041276605391650685,0.0,17
exclude,3,C3 Hybrid,2020-08,2020-08-31,-0.009274713443461202,1.0736157963067565,0.0,27,0.9622723110179924,0.03762702593340566,0.0,21,6,0,-0.0051938068015872085,-0.00124792470256843,0.0,21
exclude,3,C3 Hybrid,2020-09,2020-09-30,-0.0006455436822263572,1.7095708805757652,0.0,22,0.7645169773679823,0.2352845287661973,0.0,11,11,0,-0.0004642774035803055,0.004853048508010045,0.0,19
exclude,3,C3 Hybrid,2020-10,2020-10-28,-0.0008279785532263606,0.9916497518831906,0.0,14,0.7623361226593083,0.2374021635405233,0.0,8,6,0,0.004161885787153991,-0.0018985420735458589,0.0,18
exclude,3,C3 Hybrid,2020-11,2020-11-30,0.00554075619518235,1.1983171828633914,0.0,21,0.9938154732204816,0.005962876123939439,0.0,16,5,0,0.008469342381782792,-5.812413512066292e-06,0.0,22
exclude,3,C3 Hybrid,2020-12,2020-12-31,0.00014774762662161933,1.3461271747942654,0.0,18,0.7961507751855871,0.20366748401413068,0.0,8,10,0,0.007350157106296628,-0.0021200388558666504,0.0,18
exclude,3,C3 Hybrid,2021-01,2021-01-29,-0.04036927750448105,1.5685922089095115,0.0,22,0.770455030727368,0.22950285689784722,0.0,14,8,0,-0.029972813683705076,-0.005471531885089229,0.0,19
exclude,3,C3 Hybrid,2021-02,2021-02-26,-0.004965178774841372,0.5085697099442222,0.0,18,0.8269996093873353,0.17251913208179206,0.0,9,9,0,-0.008134058583200484,0.0037539410306646863,0.0,22
exclude,3,C3 Hybrid,2021-03,2021-03-31,0.017422858561371157,1.3279060707342147,0.0,20,0.4484206373878697,0.5514505601752546,0.0,10,10,0,0.013353096089315427,0.008945353052639491,0.0,21
exclude,3,C3 Hybrid,2021-04,2021-04-30,0.04223710610854514,1.3428779660036678,0.0,25,0.7905401114002947,0.2093290371980906,0.0,14,11,0,0.05531870864198954,-0.007972680404785283,0.0,18
exclude,3,C3 Hybrid,2021-05,2021-05-31,0.05077743927133249,0.4345805984790717,0.0,18,0.7272347590757802,0.2726426299232749,0.0,7,11,0,0.04067557515764353,0.013315068035475818,0.0,21
exclude,3,C3 Hybrid,2021-06,2021-06-30,0.034355403829376074,0.5373258212126099,0.0,19,0.7277201029267585,0.2720385531716347,0.0,7,12,0,0.06472635888734038,-0.002051997047308126,0.0,18
exclude,3,C3 Hybrid,2021-07,2021-07-29,0.04676353626891161,0.9731223059042854,0.0,34,0.5116400443284294,0.488179127469677,0.0,14,20,0,0.04949803875198457,-0.0007637952016083543,0.0,19
exclude,3,C3 Hybrid,2021-08,2021-08-31,0.013231570692700867,0.9862995825630753,0.0,28,0.6374853857300148,0.36226223369930205,0.0,12,16,0,0.01056535764925459,0.006732127887260561,0.0,21
exclude,3,C3 Hybrid,2021-09,2021-09-30,0.07922649303712115,0.7687382738195377,0.0,28,0.7382644754362282,0.26158061771589725,0.0,12,16,0,0.06431551350049003,0.017141961547183265,0.0,18
exclude,3,C3 Hybrid,2021-10,2021-10-29,-0.012986837065509071,0.7019102847816738,0.0,25,0.7695723309429973,0.23005582753573614,0.0,14,11,0,-0.024261942988955957,0.011600672913251784,0.0,20
exclude,3,C3 Hybrid,2021-11,2021-11-30,-0.06719493044472524,1.1168076155209579,0.0,26,0.936686895299203,0.06320946122232757,0.0,12,14,0,-0.06114153930541216,-0.00023057465404262945,0.0,22
exclude,3,C3 Hybrid,2021-12,2021-12-31,0.05440963528327902,0.6999736767475983,0.0,27,0.5293025401480956,0.4704693926825936,0.0,10,17,0,0.029421996817912015,0.026601356568754595,0.0,19
