sell_mode,cell,configuration,mois,date_rebalance,n_titres,poids_moyen,poids_max,n_BUY,n_NEUTRAL,n_SELL,w_BUY,w_NEUTRAL,w_SELL,liquidity_obj,cvar_obj,expected_alpha_raw
exclude,1,C1 Ridge,2023-02,2023-02-28,42,0.023801783561474138,0.1896253047889021,33,9,0,0.8689134527781229,0.13076145680379092,0.0,0.2171,0.011248,0.235474
exclude,1,C1 Ridge,2023-03,2023-03-31,41,0.024384549957247474,0.21763968375052944,32,9,0,0.9852299334856275,0.014536614761519042,0.0,0.153,0.010049,0.278207
exclude,1,C1 Ridge,2023-04,2023-04-28,51,0.019603070908591383,0.24704175237335232,34,17,0,0.908479611569625,0.09127700476853579,0.0,0.2148,0.008446,0.262826
exclude,1,C1 Ridge,2023-05,2023-05-31,47,0.02126880132467184,0.21713600653906906,33,14,0,0.9615322085006777,0.03810145375889865,0.0,0.2583,0.010144,0.344007
exclude,1,C1 Ridge,2023-06,2023-06-28,45,0.022216195738780392,0.21220719273844965,33,12,0,0.8803942034536719,0.11933460479144564,0.0,0.1991,0.00959,0.434134
exclude,1,C1 Ridge,2023-07,2023-07-31,39,0.025637279298963287,0.4,25,14,0,0.9375119919256287,0.06234190073393956,0.0,0.3888,0.011331,0.547058
exclude,1,C1 Ridge,2023-08,2023-08-31,36,0.027774094091255794,0.35052109778850016,24,12,0,0.9181700614007866,0.08169732588442198,0.0,0.2908,0.009796,0.50018
exclude,1,C1 Ridge,2023-09,2023-09-27,41,0.024388438796352878,0.23655762174381048,26,15,0,0.720790815697197,0.279135174953271,0.0,0.3562,0.012674,0.289973
exclude,1,C1 Ridge,2023-10,2023-10-31,38,0.026312395514284413,0.3732351796827681,28,10,0,0.9407108542235925,0.05916017531921518,0.0,0.3833,0.012119,0.330447
exclude,1,C1 Ridge,2023-11,2023-11-30,37,0.02702206489319549,0.18862537110652317,23,14,0,0.8441891812466471,0.15562721980158623,0.0,0.2082,0.013073,0.316545
exclude,1,C1 Ridge,2023-12,2023-12-29,43,0.023252766367211044,0.15546624416238344,28,15,0,0.9584201337680177,0.041448820022057166,0.0,0.2676,0.010053,0.299872
exclude,1,C1 Ridge,2024-01,2024-01-31,43,0.023250604685065745,0.2710840686579995,22,21,0,0.6883746132607109,0.3114013881971162,0.0,0.3413,0.011775,0.398841
exclude,1,C1 Ridge,2024-02,2024-02-29,40,0.024995486440909057,0.264180089020109,25,15,0,0.8033467945246223,0.19647266311173997,0.0,0.2361,0.01205,0.427511
exclude,1,C1 Ridge,2024-03,2024-03-29,38,0.026312235302117192,0.1725343010886842,20,18,0,0.7263353284851526,0.2735296129953007,0.0,0.2503,0.011993,0.381006
exclude,1,C1 Ridge,2024-04,2024-04-30,38,0.026312359238167854,0.14201875396249006,25,13,0,0.7967975775515831,0.20307207349879544,0.0,0.2037,0.010816,0.372475
exclude,1,C1 Ridge,2024-05,2024-05-31,42,0.023806510880691807,0.3341776277540612,29,13,0,0.9277647381673122,0.07210871882174362,0.0,0.3829,0.010353,0.344442
exclude,1,C1 Ridge,2024-06,2024-06-28,41,0.024385425355445776,0.3475468812740555,25,16,0,0.8671942961814946,0.13260814339178228,0.0,0.201,0.009108,0.361181
