cell,configuration,mois,date_rebalance,portfolio,ticker,weight,recommendation,predicted_return,conviction_score,score_opt,liquidity_vmq_20j,L_sigmoid,held,sell_mode,eligible_vmq,n_candidates,n_positions,expected_alpha_raw,cvar_95,liquidity_L_weighted,status,portfolio_ret_month,turnover,liquidite_ponderee,n_titres,ret_holding,contribution,eligible_vmq_500k,liquidity_role,min_vmq_threshold,protocol_window
2,C2 Ridge + régime,2023-04,2023-04-28,P_selected,ADH,0.0001723004614480345,NEUTRAL,0.025293699957499874,0.025293699957499874,0.012646849978749937,1443043.845,0.9999999948727762,1,exclude,1,58,51,0.29456,0.011218,0.7186,ok,0.04792218186184849,1.0281125479663518,0.6266156157988103,51,0.1770992366412214,3.0514280195377106e-05,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-04,2023-04-28,P_selected,TQM,0.00015233486766033316,BUY,0.12317430681144205,0.12317430681144205,0.12317430681144205,1271501.99,0.9999999202231057,1,exclude,1,58,51,0.29456,0.011218,0.7186,ok,0.04792218186184849,1.0281125479663518,0.6266156157988103,51,0.05714285714285716,8.704849580590469e-06,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,AKT,0.16378684098958537,BUY,0.1809315349598995,0.1809315349598995,0.1809315349598995,4337656.9475,1.0,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.10282450015867961,0.016841300057323254,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,REB,0.10985879065663424,BUY,0.7382869782929748,0.7382869782929748,0.7382869782929748,987.908,0.018267533559620228,1,exclude,0,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,-0.000641299700726794,-7.045240957030705e-05,0,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,CDM,0.09158032838408812,BUY,0.30957894846282397,0.30957894846282397,0.30957894846282397,2111296.7199999997,0.9999999999998834,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.05957446808510647,0.005455849350541428,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,AFI,0.08159865332046098,BUY,0.4099735290206177,0.4099735290206177,0.4099735290206177,22052.802499999998,0.02540303998202494,1,exclude,0,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,-0.03918918918918923,-0.0031977850625586096,0,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,SBM,0.0454060955063118,BUY,0.4479106194668417,0.4479106194668417,0.4479106194668417,1324841.7,0.9999999660190999,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,-0.041353383458646586,-0.0018776956788324414,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,CMA,0.04323109210762414,BUY,0.5452562547878692,0.5452562547878692,0.5452562547878692,4442305.05,1.0,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.08203677510608198,0.003546539380823477,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,ADI,0.04263743242363999,BUY,0.4330467184202062,0.4330467184202062,0.4330467184202062,1961794.8165,0.9999999999987259,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.1683453237410073,0.007177812364842996,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,CSR,0.04027674352234475,BUY,0.6890249959050812,0.6890249959050812,0.6890249959050812,4808098.57,1.0,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.0652827096421742,0.0026293749527015525,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,DWY,0.03797079374565376,BUY,0.3191334325745464,0.3191334325745464,0.3191334325745464,547346.64,0.9914864497483079,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,-0.01388888888888884,-0.0005273721353563003,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,CTM,0.032564034656401585,BUY,0.2020400259045791,0.2020400259045791,0.2020400259045791,14021.0,0.022408227102026685,1,exclude,0,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.040000000000000036,0.0013025613862560645,0,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,BOA,0.030184225048930972,BUY,0.20764277833886807,0.20764277833886807,0.20764277833886807,2292785.1825,0.9999999999999936,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.06626506024096379,0.002000159491194219,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,LBV,0.029546010921247333,NEUTRAL,-0.09496935758121999,-0.09496935758121999,-0.047484678790609997,6296433.35,1.0,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.013215859030837107,0.00039047591525877837,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,SLF,0.028463935210557054,BUY,0.2747241157646672,0.2747241157646672,0.2747241157646672,338900.275,0.805715073766524,1,exclude,0,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,-0.03508771929824561,-0.0009987345687914755,0,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,TGC,0.028170993264975387,BUY,0.2756239617755691,0.2756239617755691,0.2756239617755691,1231054.7525,0.9999998476181343,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.05776173285198549,0.0016272053871465909,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,MSA,0.02630901159731074,BUY,0.24113922169629265,0.24113922169629265,0.24113922169629265,3986821.0275,1.0,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.012861736334405016,0.00033837957038341447,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,CIH,0.020994051689727698,BUY,0.12575130259022585,0.12575130259022585,0.12575130259022585,2294585.9675000003,0.9999999999999938,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.023339816615726594,0.0004899973164593295,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,LES,0.02086480867478956,BUY,0.13723452131918068,0.13723452131918068,0.13723452131918068,232584.78999999998,0.43078640576325367,1,exclude,0,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.006000000000000005,0.00012518885204873748,0,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,CMT,0.019076910341811144,BUY,0.2769815770185464,0.2769815770185464,0.2769815770185464,780695.1,0.999794759246753,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.05882352941176472,0.0011221711965771265,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,SOT,0.016621941743951502,BUY,0.15907216919608946,0.15907216919608946,0.15907216919608946,257728.5,0.5308746684743902,1,exclude,0,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,-0.03088480801335558,-0.0005133654795711229,0,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,SAH,0.011771797651539953,BUY,0.36321460108244097,0.36321460108244097,0.36321460108244097,30471.5,0.02895989017436235,1,exclude,0,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.0,0.0,0,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,MOX,0.009889842018209638,BUY,0.1981633088964771,0.1981633088964771,0.1981633088964771,2052.915,0.01857564984649274,1,exclude,0,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.08450000000000002,0.0008356916505387146,0,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,SID,0.007931785903162236,BUY,0.3120135117574577,0.3120135117574577,0.3120135117574577,789052.735,0.9998204439840488,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.033868092691622165,0.00026863446017840066,1,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,S2M,0.0071668642387724985,BUY,0.21880472197324768,0.21880472197324768,0.21880472197324768,1670.1924999999999,0.01846434218991693,1,exclude,0,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,-0.061797752808988804,-0.00044289610464324456,0,pareto,500000.0,2023-01_2025-06
2,C2 Ridge + régime,2023-05,2023-05-31,P_selected,LHM,0.007024241245348429,BUY,0.24696234707482087,0.24696234707482087,0.24696234707482087,6990852.45,1.0,1,exclude,1,58,53,0.338867,0.008575,0.6924,ok,0.03544940151322695,0.9488809684921822,0.6433269203875763,53,0.09876543209876543,0.0006937522217628077,1,pareto,500000.0,2023-01_2025-06
