mois,portfolio,dominated_among_4_archived,alpha_opt,cvar,L,n_titres,turnover,alpha_raw,n_pareto_reported,selection_rule,note
2023-09,P_equilibre,False,1.000584,0.010734,0.9876,33,0.2812,1.000873,16,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-09,P_defensif,False,0.6886,0.009167,0.8071,21,0.4713,0.682743,16,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-09,P_selected,False,1.000584,0.010734,0.9876,33,0.2812,1.000873,16,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-10,P_agressif,False,0.88943,0.013618,0.9982,30,0.3097,0.889572,20,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-10,P_equilibre,False,0.745215,0.011089,0.9723,35,0.2682,0.750204,20,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-10,P_defensif,False,0.576107,0.009146,0.8574,25,0.3246,0.592204,20,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-10,P_selected,False,0.745215,0.011089,0.9723,35,0.2682,0.750204,20,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-11,P_agressif,False,0.967941,0.01175,0.9503,35,0.2673,0.967238,15,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-11,P_equilibre,False,0.845795,0.010378,0.9437,34,0.26,0.846331,15,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-11,P_defensif,False,0.600955,0.008406,0.7518,23,0.4106,0.599545,15,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-11,P_selected,False,0.845795,0.010378,0.9437,34,0.26,0.846331,15,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-12,P_agressif,False,0.984701,0.011183,0.9936,35,0.2869,0.987767,11,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-12,P_equilibre,False,0.87327,0.010062,0.9926,32,0.3076,0.876269,11,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-12,P_defensif,False,0.768882,0.009496,0.9842,35,0.3597,0.769895,11,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2023-12,P_selected,False,0.87327,0.010062,0.9926,32,0.3076,0.876269,11,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-01,P_agressif,False,1.566013,0.010981,0.7321,30,0.6929,1.562241,26,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-01,P_equilibre,False,1.28665,0.011809,0.9671,32,0.4755,1.281539,26,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-01,P_defensif,False,0.911138,0.007777,0.7929,22,0.429,0.905965,26,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-01,P_selected,False,1.28665,0.011809,0.9671,32,0.4755,1.281539,26,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-02,P_agressif,False,1.565202,0.014791,0.9536,27,0.278,1.570058,23,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-02,P_equilibre,False,1.098429,0.011126,0.9829,30,0.3511,1.105959,23,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-02,P_defensif,False,0.827735,0.009547,0.8673,22,0.4278,0.831975,23,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-02,P_selected,False,1.098429,0.011126,0.9829,30,0.3511,1.105959,23,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-03,P_agressif,False,1.280655,0.013043,0.9987,31,0.528,1.286009,21,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-03,P_equilibre,False,0.894139,0.008867,0.9801,31,0.6817,0.897531,21,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-03,P_defensif,False,0.455913,0.006231,0.8964,20,0.7062,0.453841,21,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-03,P_selected,False,0.894139,0.008867,0.9801,31,0.6817,0.897531,21,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-04,P_agressif,False,1.250308,0.014184,0.8952,34,0.5553,1.266187,30,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
