Configuration,cell,fold_id,test_start_month,test_end_month,mean_BUY,mean_NEUTRAL,mean_SELL,spread_BUY_NEUTRAL,spread_NEUTRAL_SELL,spread_BUY_SELL,order_ok,metric
C3 Hybrid,3,12,2019-07,2019-12,0.0256446842471274,0.023804859785253707,0.0011032206877698905,0.0018398244618736924,0.022701639097483815,0.024541463559357508,True,future_excess
C3 Hybrid,3,18,2020-01,2020-06,0.006353620369488203,0.02980312719526938,0.025780777519504566,-0.023449506825781175,0.004022349675764814,-0.01942715715001636,False,future_excess
C3 Hybrid,3,24,2020-07,2020-12,0.007571475438309899,-0.011549665601777998,-0.005451882502005606,0.019121141040087896,-0.006097783099772392,0.013023357940315505,False,future_excess
C3 Hybrid,3,30,2021-01,2021-06,0.0364517376937415,0.037793790858719735,0.007333151923817689,-0.0013420531649782352,0.030460638934902046,0.02911858576992381,False,future_excess
C3 Hybrid,3,36,2021-07,2021-12,0.009453399213695186,0.016853510850331658,0.05646576124534476,-0.007400111636636472,-0.03961225039501311,-0.047012362031649574,False,future_excess
C3 Hybrid,3,42,2022-01,2022-06,0.005350574429915883,0.02126435264191616,0.03396576984071103,-0.015913778212000275,-0.012701417198794869,-0.028615195410795144,False,future_excess
C3 Hybrid,3,48,2022-07,2022-12,0.01810974865408701,0.025159650175317655,0.029254220938496292,-0.007049901521230646,-0.004094570763178637,-0.011144472284409283,False,future_excess
C3 Hybrid,3,54,2023-01,2023-06,-0.02267138186290127,-0.013920794545451599,0.002769355509172091,-0.00875058731744967,-0.01669015005462369,-0.02544073737207336,False,future_excess
C3 Hybrid,3,60,2023-07,2023-12,0.021616403356216524,-0.018919319830875504,-0.023258040557649583,0.04053572318709203,0.004338720726774079,0.04487444391386611,True,future_excess
C3 Hybrid,3,66,2024-01,2024-06,0.11152347906468016,0.05110451570742578,0.01535052233417333,0.06041896335725438,0.035753993373252455,0.09617295673050683,True,future_excess
C3 Hybrid,3,72,2024-07,2024-12,0.04321082037225865,0.015324866589699221,-0.002947719303588059,0.027885953782559432,0.01827258589328728,0.04615853967584671,True,future_excess
C3 Hybrid,3,78,2025-01,2025-06,0.022212187607724882,0.00594695410271543,0.02050453917254632,0.01626523350500945,-0.014557585069830889,0.0017076484351785624,False,future_excess
C4 Hybrid + régime,4,0,2018-07,2018-12,-0.0037773495819482202,0.04070399719956939,-0.017194345260662672,-0.044481346781517606,0.05789834246023206,0.013416995678714452,False,future_excess
C4 Hybrid + régime,4,6,2019-01,2019-06,-0.003238736658111656,-0.008787667239057611,-0.023940202692404468,0.005548930580945955,0.015152535453346857,0.020701466034292813,True,future_excess
C4 Hybrid + régime,4,12,2019-07,2019-12,0.024767460915734178,0.02353423793008954,0.0018547643070756315,0.001233222985644638,0.02167947362301391,0.022912696608658547,True,future_excess
C4 Hybrid + régime,4,18,2020-01,2020-06,0.005959692896201341,0.034430863805886405,0.022114318003453336,-0.028471170909685064,0.01231654580243307,-0.016154625107251994,False,future_excess
C4 Hybrid + régime,4,24,2020-07,2020-12,0.007571475438309899,-0.011549665601777998,-0.005451882502005606,0.019121141040087896,-0.006097783099772392,0.013023357940315505,False,future_excess
C4 Hybrid + régime,4,30,2021-01,2021-06,0.036168400038150195,0.03772132059517721,0.007327899366799101,-0.001552920557027014,0.03039342122837811,0.028840500671351094,False,future_excess
C4 Hybrid + régime,4,36,2021-07,2021-12,0.013057011100543484,0.013111200370955532,0.05770188115278827,-5.418927041204828e-05,-0.04459068078183274,-0.04464487005224479,False,future_excess
C4 Hybrid + régime,4,42,2022-01,2022-06,0.005332996521224986,0.020161269021972954,0.03581216630625247,-0.014828272500747967,-0.015650897284279514,-0.03047916978502748,False,future_excess
C4 Hybrid + régime,4,48,2022-07,2022-12,0.019559090548858824,0.026671393720331955,0.02554350701254975,-0.007112303171473131,0.001127886707782206,-0.005984416463690925,False,future_excess
C4 Hybrid + régime,4,54,2023-01,2023-06,-0.021169032491104543,-0.013418906755531772,0.0006198139566849292,-0.007750125735572771,-0.014038720712216702,-0.021788846447789473,False,future_excess
C4 Hybrid + régime,4,60,2023-07,2023-12,0.0174649279797493,-0.007395254850001122,-0.02325673544520766,0.024860182829750423,0.015861480595206538,0.040721663424956964,True,future_excess
C4 Hybrid + régime,4,66,2024-01,2024-06,0.11152347906468016,0.05110451570742578,0.01535052233417333,0.06041896335725438,0.035753993373252455,0.09617295673050683,True,future_excess
C4 Hybrid + régime,4,72,2024-07,2024-12,0.04321082037225865,0.015324866589699221,-0.002947719303588059,0.027885953782559432,0.01827258589328728,0.04615853967584671,True,future_excess
C4 Hybrid + régime,4,78,2025-01,2025-06,0.020480819073858916,0.007859693606611054,0.020142528504334945,0.012621125467247862,-0.012282834897723891,0.00033829056952397116,False,future_excess
