fold_id,cell_id,test_start_month,test_end_month,rank_ic,hit_ratio,sharpe_ls
55,1,2023-02,2023-07,0.0432350260114642,0.4560369136118944,1.024375627011609
56,1,2023-03,2023-08,0.0395053309396114,0.4568181818181818,1.730436469765552
57,1,2023-04,2023-09,0.1616235593038592,0.4882368148914167,3.5917682374299846
58,1,2023-05,2023-10,0.2060437652410866,0.5253664036076663,3.071705617034634
59,1,2023-06,2023-11,0.2148700615937058,0.5478912601626016,3.440310459144466
60,1,2023-07,2023-12,0.2148744735625225,0.550251256281407,3.268349994088663
61,1,2023-08,2024-01,0.2226240196688389,0.5659484369161788,3.554485799515091
62,1,2023-09,2024-02,0.2464763347198745,0.5697616683217478,4.110820777749416
63,1,2023-10,2024-03,0.2522389211812589,0.5626903862556354,4.770036608766269
64,1,2023-11,2024-04,0.2495931579233382,0.5638218462304055,9.95930069636974
65,1,2023-12,2024-05,0.2240337907669653,0.5701115963124697,7.231071070674969
66,1,2024-01,2024-06,0.2056024240013151,0.5785563947010028,6.806209855575017
67,1,2024-02,2024-07,0.1973129826673244,0.5763752455795678,5.3265834184264245
68,1,2024-03,2024-08,0.1643837599907028,0.5668122270742358,4.171634195063085
69,1,2024-04,2024-09,0.080755926031551,0.5235807308129978,3.995143573127381
70,1,2024-05,2024-10,0.085789603055356,0.5104179359083709,5.098551061054701
71,1,2024-06,2024-11,0.0806236272466112,0.4900176901693202,7.62338966712746
72,1,2024-07,2024-12,0.0672253172499816,0.4813901897954153,2.1235743535156657
73,1,2024-08,2025-01,0.0105073806381204,0.461519425884682,1.238948233886868
74,1,2024-09,2025-02,-0.028475497173175,0.4630897091175752,0.7894715178432041
75,1,2024-10,2025-03,-0.0306063195592621,0.4816114202758287,0.1327330392911791
76,1,2024-11,2025-04,0.0406437501278878,0.5301808406647116,1.2301259930772783
77,1,2024-12,2025-05,0.0531946288354913,0.5271087910784198,6.614529645172832
78,1,2025-01,2025-06,0.0460947120286608,0.5135752042287361,1.1978114853828488
79,1,2025-02,2025-07,0.0622804560394984,0.5124940504521657,0.4677014653298196
80,1,2025-03,2025-08,0.0818582970125925,0.5389737563650607,-0.9625954566006428
0,2,2018-07,2018-12,0.2256938922943804,0.5913722826086957,3.028111209824332
1,2,2018-08,2019-01,0.260495742224017,0.6107416879795396,3.083395772683559
2,2,2018-09,2019-02,0.2568911545861497,0.6150337837837838,4.116284695806549
3,2,2018-10,2019-03,0.2175613584976388,0.5998995983935743,2.8036929962037007
4,2,2018-11,2019-04,0.148444744884008,0.5589674371520162,1.6439674494003975
5,2,2018-12,2019-05,0.0939728741076526,0.5253039763391391,1.1060426959568217
6,2,2019-01,2019-06,0.0182416109609062,0.4942353340115293,-1.1838886074137571
7,2,2019-02,2019-07,0.0234069008094131,0.4797184042909822,-0.4989279379880324
8,2,2019-03,2019-08,0.0463210743895847,0.4834505230663694,-0.1145879240829697
9,2,2019-04,2019-09,0.1003967092122798,0.5001718803712616,0.7601550158768957
10,2,2019-05,2019-10,0.1011196605415076,0.5097875188221516,0.4182741465405672
11,2,2019-06,2019-11,0.1095442489334435,0.5128777472527473,0.8083867692364414
12,2,2019-07,2019-12,0.1336221125920081,0.5185550082101806,1.134607442205091
13,2,2019-08,2020-01,0.0639245110734727,0.5496656336649812,0.1667014400310812
14,2,2019-09,2020-02,0.0201036784514052,0.5474151601649223,-1.629777150160168
15,2,2019-10,2020-03,-0.0059960451457316,0.5339821064197143,-1.0000167579288008
16,2,2019-11,2020-04,-0.0164226445891371,0.5324051848295728,0.7339105483857963
17,2,2019-12,2020-05,0.0044839506714644,0.5405231904991173,-0.1382112425965618
18,2,2020-01,2020-06,0.0062962887627113,0.528785679729076,-0.6251018674075494
19,2,2020-02,2020-07,-0.0081842536895711,0.4859737311496676,-2.311275435281866
20,2,2020-03,2020-08,-0.0667099512496435,0.4599121808424134,-4.013932226488128
