fold_id,cell_id,cell_name,model,regime,train_start_month,train_end_month,test_start_month,test_end_month,n_train,n_test,n_features,clip_lower,clip_upper,rank_ic,ic_pearson,hit_ratio,sharpe_ls
18,2,ridge_adapt,ridge,True,2017-01,2019-12,2020-01,2020-06,36505,6201,36,-4.145106982094829,6.192414552883428,0.016393808940484443,-0.01670853253885022,0.5158845347524593,-2.475596291735119
18,3,hybrid_static,hybrid,False,2017-01,2019-12,2020-01,2020-06,36505,6201,33,-4.145106982094829,6.192414552883428,-0.022236005683029015,-0.060023921751071845,0.4997581035316884,-0.9542022362465116
18,4,hybrid_adapt,hybrid,True,2017-01,2019-12,2020-01,2020-06,36505,6201,36,-4.145106982094829,6.192414552883428,-0.020233270468717954,-0.060186910558490944,0.5008869537171424,-0.8952391906067997
19,1,ridge_static,ridge,False,2017-02,2020-01,2020-02,2020-07,36576,6167,33,-4.157039706912844,6.41222245447911,-0.015336398162295432,-0.07083886921082913,0.49732446894762444,-1.8597917834597237
19,2,ridge_adapt,ridge,True,2017-02,2020-01,2020-02,2020-07,36576,6167,36,-4.157039706912844,6.41222245447911,-0.012465389844353391,-0.06694576927579923,0.48402789038430355,-1.8897487980387193
19,3,hybrid_static,hybrid,False,2017-02,2020-01,2020-02,2020-07,36576,6167,33,-4.157039706912844,6.41222245447911,-0.1000500095235683,-0.14449617872780587,0.4817577428247122,-2.323043449792719
19,4,hybrid_adapt,hybrid,True,2017-02,2020-01,2020-02,2020-07,36576,6167,36,-4.157039706912844,6.41222245447911,-0.09808904699298247,-0.146813657269873,0.4820820496189395,-2.323049412932464
20,1,ridge_static,ridge,False,2017-03,2020-02,2020-03,2020-08,36568,6149,33,-4.271814397990147,6.714153028664294,-0.08141081770848321,-0.13668268337513764,0.4719466579931696,-3.6164566030733334
20,2,ridge_adapt,ridge,True,2017-03,2020-02,2020-03,2020-08,36568,6149,36,-4.271814397990147,6.714153028664294,-0.07660261338686832,-0.1322109166865519,0.45356968612782567,-3.5747134183159144
20,3,hybrid_static,hybrid,False,2017-03,2020-02,2020-03,2020-08,36568,6149,33,-4.271814397990147,6.714153028664294,-0.18500639989416706,-0.28438184144265566,0.45145552122296306,-3.8076880516860343
20,4,hybrid_adapt,hybrid,True,2017-03,2020-02,2020-03,2020-08,36568,6149,36,-4.271814397990147,6.714153028664294,-0.181857379923035,-0.2821268620312778,0.4542201984062449,-3.779565541559811
21,1,ridge_static,ridge,False,2017-04,2020-03,2020-04,2020-09,36491,6182,33,-4.217839581194619,6.539128580930731,-0.14282354174256062,-0.2074561196829142,0.43303138142995795,-4.718384467898407
21,2,ridge_adapt,ridge,True,2017-04,2020-03,2020-04,2020-09,36491,6182,36,-4.217839581194619,6.539128580930731,-0.1358671812549645,-0.20053951590480223,0.4288256227758007,-4.752818531748181
21,3,hybrid_static,hybrid,False,2017-04,2020-03,2020-04,2020-09,36491,6182,33,-4.217839581194619,6.539128580930731,-0.21876650831891623,-0.3161092198305954,0.44597217728890326,-5.387499400630935
21,4,hybrid_adapt,hybrid,True,2017-04,2020-03,2020-04,2020-09,36491,6182,36,-4.217839581194619,6.539128580930731,-0.21399697541730806,-0.31295185916981283,0.4485603364606923,-5.355363514427618
22,1,ridge_static,ridge,False,2017-05,2020-04,2020-05,2020-10,36553,6140,33,-4.25034184339313,6.594021770156785,-0.13099011713781494,-0.21343668075222189,0.4271986970684039,-3.5423159140776073
