fold_id,cell_id,cell_name,model,regime,test_start_month,test_end_month,n_train,n_test,rank_ic,ic_pearson,hit_ratio,rf_n_estimators,rf_max_depth,rf_min_samples_leaf
18,1,ridge_static,ridge,False,2020-01,2020-06,36505,6201,0.002771208944176665,-0.012596417308295802,0.5313659087243993,100,4,20
18,2,ridge_adapt,ridge,True,2020-01,2020-06,36505,6201,0.006303204613778082,-0.007617446347727984,0.5291082083534914,100,4,20
18,3,hybrid_static,hybrid,False,2020-01,2020-06,36505,6201,-0.030178072909792995,-0.05210855694632353,0.49024350911143366,100,4,20
18,4,hybrid_adapt,hybrid,True,2020-01,2020-06,36505,6201,-0.028291274738904183,-0.051483220494165136,0.491694887921303,100,4,20
19,1,ridge_static,ridge,False,2020-02,2020-07,36576,6167,-0.010399600269013988,-0.04720840713111919,0.5005675368898979,100,4,20
19,2,ridge_adapt,ridge,True,2020-02,2020-07,36576,6167,-0.008042690072720656,-0.04370984529872202,0.4822442030160532,100,4,20
19,3,hybrid_static,hybrid,False,2020-02,2020-07,36576,6167,-0.08232344985610385,-0.12339703558378926,0.48354143019296253,100,4,20
19,4,hybrid_adapt,hybrid,True,2020-02,2020-07,36576,6167,-0.08313886387594874,-0.12823292560479135,0.4853251175612129,100,4,20
20,1,ridge_static,ridge,False,2020-03,2020-08,36568,6149,-0.0715767901372559,-0.11171582268089508,0.4662546755570011,100,4,20
20,2,ridge_adapt,ridge,True,2020-03,2020-08,36568,6149,-0.06672917099234522,-0.10776011880693169,0.4511302650837535,100,4,20
20,3,hybrid_static,hybrid,False,2020-03,2020-08,36568,6149,-0.1623446028375404,-0.25465874876059336,0.457635387867946,100,4,20
20,4,hybrid_adapt,hybrid,True,2020-03,2020-08,36568,6149,-0.15913199978629716,-0.25245921233825314,0.4561717352415027,100,4,20
21,1,ridge_static,ridge,False,2020-04,2020-09,36491,6182,-0.12855188571459436,-0.18168212621552587,0.431252021999353,100,4,20
21,2,ridge_adapt,ridge,True,2020-04,2020-09,36491,6182,-0.12239290932901302,-0.17538299404851693,0.4315755418958266,100,4,20
21,3,hybrid_static,hybrid,False,2020-04,2020-09,36491,6182,-0.1849114906434058,-0.2949885356496304,0.45163377547719186,100,4,20
21,4,hybrid_adapt,hybrid,True,2020-04,2020-09,36491,6182,-0.1820456619238454,-0.2929232359730835,0.45292785506308636,100,4,20
22,1,ridge_static,ridge,False,2020-05,2020-10,36553,6140,-0.10696637074583963,-0.18936429092178367,0.43436482084690553,100,4,20
22,2,ridge_adapt,ridge,True,2020-05,2020-10,36553,6140,-0.10177634997208175,-0.1836680692131226,0.42899022801302933,100,4,20
22,3,hybrid_static,hybrid,False,2020-05,2020-10,36553,6140,-0.11576877839196392,-0.16692996414332711,0.48469055374592834,100,4,20
22,4,hybrid_adapt,hybrid,True,2020-05,2020-10,36553,6140,-0.1100706676495154,-0.16342676601210557,0.4859934853420195,100,4,20
23,1,ridge_static,ridge,False,2020-06,2020-11,36343,6201,-0.09869599761210746,-0.15171187319705137,0.4475084663763909,100,4,20
23,2,ridge_adapt,ridge,True,2020-06,2020-11,36343,6201,-0.09679206226316321,-0.14888559047551253,0.4439606515078213,100,4,20
23,3,hybrid_static,hybrid,False,2020-06,2020-11,36343,6201,-0.02694857838781185,-0.08374025380917595,0.5176584421867441,100,4,20
23,4,hybrid_adapt,hybrid,True,2020-06,2020-11,36343,6201,-0.020780770988409723,-0.11480604297127732,0.5216900499919368,100,4,20
24,1,ridge_static,ridge,False,2020-07,2020-12,36417,6331,-0.06199166335511592,-0.10626145105702672,0.46248617911862266,100,4,20
24,2,ridge_adapt,ridge,True,2020-07,2020-12,36417,6331,-0.06276173649584564,-0.10452425389839215,0.4620123203285421,100,4,20
24,3,hybrid_static,hybrid,False,2020-07,2020-12,36417,6331,-0.01931705852710481,-0.07786185775976047,0.5152424577475913,100,4,20
24,4,hybrid_adapt,hybrid,True,2020-07,2020-12,36417,6331,-0.01795793145319298,-0.07605325907056332,0.5146106460274839,100,4,20
25,1,ridge_static,ridge,False,2020-08,2021-01,36422,6221,-0.024956310372530325,-0.07498026040046014,0.4875421957884584,100,4,20
