month,decision_date,net_return,gross_return,turnover,transaction_cost,n_positions,liquidity_L,n_days,portfolio_alpha,portfolio_cvar,portfolio_liquidity,date_rebalance,regime_market,wealth100_net,cell,selection_method
2021-07,2021-07-29,0.036246261900132,0.0405919851612264,1.403566826020206,0.0042107004780606,29,0.6259019337045032,19,0.183398,0.016531,0.626,2021-07-29,neutral,107.3107812078147,C2,knee_utopia_distance
2021-08,2021-08-31,0.0160980553953355,0.0198299194881268,1.219569446614167,0.0036587083398425,40,0.7422225598365877,21,0.28984,0.011362,0.7421,2021-08-31,bull,109.03827610821483,C2,knee_utopia_distance
2021-09,2021-09-30,0.0657091743080635,0.0684618556887035,0.8545686152947806,0.0025637058458843,36,0.8689526616461443,18,0.298153,0.010225,0.8689,2021-09-30,bull,116.20309119926029,C2,knee_utopia_distance
2021-10,2021-10-29,-0.0021309013267148,-0.0001017395735555,0.6740219388742176,0.0020220658166226,39,0.908116445538074,20,0.372848,0.01305,0.9081,2021-10-29,bull,115.95547387805543,C2,knee_utopia_distance
2021-11,2021-11-30,-0.04073573376303,-0.0380793541721963,0.9171939530055558,0.0027515818590166,32,0.782715263139769,22,0.230185,0.013823,0.7826,2021-11-30,neutral,111.23194256579299,C2,knee_utopia_distance
2021-12,2021-12-31,0.0760637052189321,0.0792504014903068,0.9870274951834388,0.0029610824855503,28,0.6895569736011993,19,0.349301,0.013317,0.6896,2021-12-31,neutral,119.69265625604666,C2,knee_utopia_distance
2022-01,2022-01-31,-0.0449274885707667,-0.0418589620760995,1.0653112916224363,0.0031959338748673,28,0.6949513792786166,19,0.347815,0.011521,0.695,2022-01-31,neutral,114.31516581009842,C2,knee_utopia_distance
2022-02,2022-02-28,-0.0166591727993044,-0.0141735636941688,0.828771466353953,0.0024863143990618,27,0.7217935042877776,22,0.325297,0.012838,0.7217,2022-02-28,neutral,112.41076970928685,C2,knee_utopia_distance
2022-03,2022-03-31,0.0356636653830562,0.0384060383039177,0.8705893803287074,0.0026117681409861,18,0.881037246762161,20,0.081785,0.012225,0.881,2022-03-31,bear,116.41974978565064,C2,knee_utopia_distance
2022-04,2022-04-29,-0.028645638070741,-0.0246991627502272,1.3468522005967958,0.0040405566017903,37,0.7343736488072758,19,0.133892,0.008839,0.7344,2022-04-29,neutral,113.08483176900465,C2,knee_utopia_distance
2022-05,2022-05-31,-0.0344137628701052,-0.0307040736050832,1.2757385930362637,0.0038272157791087,15,0.7545570054296422,21,-0.007479,0.011875,0.7545,2022-05-31,bear,109.19315718430039,C2,knee_utopia_distance
2022-06,2022-06-30,0.0046774802838074,0.0080259729479592,1.1057351072221648,0.0033172053216664,22,0.7967179209742516,19,0.034963,0.01204,0.7967,2022-06-30,bear,109.70390602415662,C2,knee_utopia_distance
2022-07,2022-07-29,0.0406143654812733,0.0445349867613298,1.263000182047429,0.0037890005461422,43,0.5820717019298439,22,0.09102,0.00925,0.5821,2022-07-29,bear,114.15946055814499,C2,knee_utopia_distance
2022-08,2022-08-31,-0.0380796438420789,-0.0355133359001847,0.8890657223947066,0.0026671971671841,37,0.5494208427788033,21,0.214661,0.00908,0.5493,2022-08-31,neutral,109.81230895888696,C2,knee_utopia_distance
2022-09,2022-09-30,-0.0154548322745198,-0.0118215628211396,1.2338314408632547,0.0037014943225897,38,0.6790105020072659,19,0.282138,0.009974,0.679,2022-09-30,neutral,108.11517814224962,C2,knee_utopia_distance
2022-10,2022-10-31,-0.0251542049613313,-0.0221927394852906,1.008486430573834,0.0030254592917215,36,0.651234552603489,20,0.185933,0.010486,0.6512,2022-10-31,bear,105.39562679182863,C2,knee_utopia_distance
2022-11,2022-11-30,-0.0141559524063571,-0.0116023815394936,0.8622638247316783,0.002586791474195,41,0.390384307441587,21,0.207206,0.011134,0.3904,2022-11-30,bear,103.90365131512533,C2,knee_utopia_distance
2022-12,2022-12-30,-0.039257582719838,-0.0354214762932838,1.3225498415301309,0.0039676495245903,42,0.662424973756635,21,0.295263,0.011053,0.6624,2022-12-30,neutral,99.82464512872859,C2,knee_utopia_distance
